,accuracy,n_components,kind,removed_feature
0,1.0,50,cluster_0,principal component 25
1,1.0,49,cluster_0,principal component 13
2,1.0,48,cluster_0,principal component 36
3,1.0,47,cluster_0,principal component 33
4,1.0,46,cluster_0,principal component 40
5,1.0,45,cluster_0,principal component 23
6,1.0,44,cluster_0,principal component 6
7,1.0,43,cluster_0,principal component 2
8,1.0,42,cluster_0,principal component 20
9,1.0,41,cluster_0,principal component 49
10,1.0,40,cluster_0,principal component 7
11,1.0,39,cluster_0,principal component 21
12,1.0,38,cluster_0,principal component 30
13,1.0,37,cluster_0,principal component 37
14,1.0,36,cluster_0,principal component 3
15,1.0,35,cluster_0,principal component 43
16,1.0,34,cluster_0,principal component 38
17,1.0,33,cluster_0,principal component 32
18,1.0,32,cluster_0,principal component 27
19,1.0,31,cluster_0,principal component 12
20,1.0,30,cluster_0,principal component 14
21,1.0,29,cluster_0,principal component 26
22,1.0,28,cluster_0,principal component 39
23,1.0,27,cluster_0,principal component 9
24,1.0,26,cluster_0,principal component 8
25,1.0,25,cluster_0,principal component 5
26,1.0,24,cluster_0,principal component 10
27,1.0,23,cluster_0,principal component 11
28,1.0,22,cluster_0,principal component 28
29,1.0,21,cluster_0,principal component 15
30,1.0,20,cluster_0,principal component 29
31,1.0,19,cluster_0,principal component 41
32,1.0,18,cluster_0,principal component 18
33,1.0,17,cluster_0,principal component 19
34,1.0,16,cluster_0,principal component 35
35,1.0,15,cluster_0,principal component 50
36,1.0,14,cluster_0,principal component 1
37,1.0,13,cluster_0,principal component 45
38,1.0,12,cluster_0,principal component 17
39,1.0,11,cluster_0,principal component 31
40,1.0,10,cluster_0,principal component 22
41,1.0,9,cluster_0,principal component 48
42,1.0,8,cluster_0,principal component 24
43,1.0,7,cluster_0,principal component 44
44,1.0,6,cluster_0,principal component 4
45,1.0,5,cluster_0,principal component 16
46,0.9999316356178432,4,cluster_0,principal component 34
47,1.0,3,cluster_0,principal component 42
48,0.9859853016578363,2,cluster_0,principal component 46
49,0.800615279439412,1,cluster_0,principal component 47
50,1.0,50,cluster_1,principal component 2
51,1.0,49,cluster_1,principal component 19
52,1.0,48,cluster_1,principal component 6
53,1.0,47,cluster_1,principal component 12
54,1.0,46,cluster_1,principal component 32
55,1.0,45,cluster_1,principal component 3
56,1.0,44,cluster_1,principal component 5
57,1.0,43,cluster_1,principal component 29
58,1.0,42,cluster_1,principal component 4
59,1.0,41,cluster_1,principal component 40
60,1.0,40,cluster_1,principal component 43
61,1.0,39,cluster_1,principal component 8
62,1.0,38,cluster_1,principal component 9
63,1.0,37,cluster_1,principal component 1
64,1.0,36,cluster_1,principal component 10
65,1.0,35,cluster_1,principal component 20
66,1.0,34,cluster_1,principal component 25
67,1.0,33,cluster_1,principal component 49
68,1.0,32,cluster_1,principal component 22
69,1.0,31,cluster_1,principal component 18
70,1.0,30,cluster_1,principal component 14
71,1.0,29,cluster_1,principal component 28
72,1.0,28,cluster_1,principal component 44
73,1.0,27,cluster_1,principal component 23
74,1.0,26,cluster_1,principal component 17
75,1.0,25,cluster_1,principal component 30
76,1.0,24,cluster_1,principal component 11
77,1.0,23,cluster_1,principal component 31
78,1.0,22,cluster_1,principal component 37
79,1.0,21,cluster_1,principal component 38
80,1.0,20,cluster_1,principal component 41
81,1.0,19,cluster_1,principal component 39
82,1.0,18,cluster_1,principal component 46
83,1.0,17,cluster_1,principal component 34
84,1.0,16,cluster_1,principal component 33
85,1.0,15,cluster_1,principal component 26
86,1.0,14,cluster_1,principal component 42
87,1.0,13,cluster_1,principal component 7
88,1.0,12,cluster_1,principal component 13
89,1.0,11,cluster_1,principal component 16
90,1.0,10,cluster_1,principal component 15
91,1.0,9,cluster_1,principal component 21
92,1.0,8,cluster_1,principal component 24
93,1.0,7,cluster_1,principal component 27
94,1.0,6,cluster_1,principal component 36
95,1.0,5,cluster_1,principal component 35
96,0.9999658178089216,4,cluster_1,principal component 48
97,0.9999316356178432,3,cluster_1,principal component 45
98,0.9969236028029397,2,cluster_1,principal component 47
99,0.6857289352247479,1,cluster_1,principal component 50
100,1.0,50,cluster_2,principal component 2
101,1.0,49,cluster_2,principal component 28
102,1.0,48,cluster_2,principal component 40
103,1.0,47,cluster_2,principal component 49
104,1.0,46,cluster_2,principal component 33
105,1.0,45,cluster_2,principal component 4
106,1.0,44,cluster_2,principal component 16
107,1.0,43,cluster_2,principal component 25
108,1.0,42,cluster_2,principal component 42
109,1.0,41,cluster_2,principal component 10
110,1.0,40,cluster_2,principal component 8
111,1.0,39,cluster_2,principal component 26
112,1.0,38,cluster_2,principal component 46
113,1.0,37,cluster_2,principal component 7
114,1.0,36,cluster_2,principal component 11
