,accuracy,n_components,kind,removed_feature
0,1.0,100,cluster_0,principal component 25
1,1.0,99,cluster_0,principal component 36
2,1.0,98,cluster_0,principal component 13
3,1.0,97,cluster_0,principal component 6
4,1.0,96,cluster_0,principal component 20
5,1.0,95,cluster_0,principal component 23
6,1.0,94,cluster_0,principal component 33
7,1.0,93,cluster_0,principal component 40
8,1.0,92,cluster_0,principal component 2
9,1.0,91,cluster_0,principal component 37
10,1.0,90,cluster_0,principal component 58
11,1.0,89,cluster_0,principal component 43
12,1.0,88,cluster_0,principal component 3
13,1.0,87,cluster_0,principal component 30
14,1.0,86,cluster_0,principal component 49
15,1.0,85,cluster_0,principal component 7
16,1.0,84,cluster_0,principal component 21
17,1.0,83,cluster_0,principal component 32
18,0.9999316356178432,82,cluster_0,principal component 9
19,0.9999316356178432,81,cluster_0,principal component 5
20,0.9999316356178432,80,cluster_0,principal component 52
21,0.9999316356178432,79,cluster_0,principal component 12
22,0.9999316356178432,78,cluster_0,principal component 10
23,0.9999316356178432,77,cluster_0,principal component 26
24,0.9999316356178432,76,cluster_0,principal component 14
25,0.9999316356178432,75,cluster_0,principal component 38
26,0.9999316356178432,74,cluster_0,principal component 39
27,0.9999316356178432,73,cluster_0,principal component 27
28,0.9999316356178432,72,cluster_0,principal component 50
29,0.9999316356178432,71,cluster_0,principal component 53
30,0.9999316356178432,70,cluster_0,principal component 55
31,0.9999316356178432,69,cluster_0,principal component 51
32,0.9999316356178432,68,cluster_0,principal component 8
33,0.9999316356178432,67,cluster_0,principal component 41
34,0.9999316356178432,66,cluster_0,principal component 59
35,0.9999316356178432,65,cluster_0,principal component 28
36,0.9999316356178432,64,cluster_0,principal component 29
37,0.9999316356178432,63,cluster_0,principal component 35
38,0.9999316356178432,62,cluster_0,principal component 65
39,0.9998632712356862,61,cluster_0,principal component 48
40,0.9998632712356862,60,cluster_0,principal component 63
41,0.9998632712356862,59,cluster_0,principal component 42
42,0.9998632712356862,58,cluster_0,principal component 11
43,0.9998632712356862,57,cluster_0,principal component 1
44,0.9997265424713724,56,cluster_0,principal component 54
45,0.9998632712356862,55,cluster_0,principal component 64
46,0.9998632712356862,54,cluster_0,principal component 15
47,0.9998632712356862,53,cluster_0,principal component 56
48,0.9998632712356862,52,cluster_0,principal component 19
49,0.9997265424713724,51,cluster_0,principal component 57
50,0.9997265424713724,50,cluster_0,principal component 17
51,0.9997265424713724,49,cluster_0,principal component 61
52,0.9997265424713724,48,cluster_0,principal component 22
53,0.9997265424713724,47,cluster_0,principal component 4
54,0.9997265424713724,46,cluster_0,principal component 47
55,0.9997265424713724,45,cluster_0,principal component 16
56,0.9997265424713724,44,cluster_0,principal component 18
57,0.9997265424713724,43,cluster_0,principal component 60
58,0.9997265424713724,42,cluster_0,principal component 44
59,0.9997265424713724,41,cluster_0,principal component 34
60,0.9997265424713724,40,cluster_0,principal component 45
61,0.9997265424713724,39,cluster_0,principal component 46
62,0.9997265424713724,38,cluster_0,principal component 62
63,0.9997265424713724,37,cluster_0,principal component 31
64,0.9997265424713724,36,cluster_0,principal component 24
65,0.8338061869765852,35,cluster_0,principal component 94
66,0.8338061869765852,34,cluster_0,principal component 74
67,0.8338061869765852,33,cluster_0,principal component 71
68,0.8338061869765852,32,cluster_0,principal component 83
69,0.8338061869765852,31,cluster_0,principal component 100
70,0.8338061869765852,30,cluster_0,principal component 93
71,0.8338061869765852,29,cluster_0,principal component 67
72,0.8338061869765852,28,cluster_0,principal component 73
73,0.8338061869765852,27,cluster_0,principal component 91
74,0.8338061869765852,26,cluster_0,principal component 92
75,0.8338061869765852,25,cluster_0,principal component 81
76,0.833942915740899,24,cluster_0,principal component 97
77,0.833942915740899,23,cluster_0,principal component 70
78,0.833942915740899,22,cluster_0,principal component 87
79,0.833942915740899,21,cluster_0,principal component 89
80,0.833942915740899,20,cluster_0,principal component 75
81,0.833942915740899,19,cluster_0,principal component 72
82,0.833942915740899,18,cluster_0,principal component 96
83,0.833942915740899,17,cluster_0,principal component 86
84,0.833942915740899,16,cluster_0,principal component 80
85,0.833942915740899,15,cluster_0,principal component 78
86,0.833942915740899,14,cluster_0,principal component 85
87,0.833942915740899,13,cluster_0,principal component 84
88,0.833942915740899,12,cluster_0,principal component 90
89,0.833942915740899,11,cluster_0,principal component 82
90,0.833942915740899,10,cluster_0,principal component 66
91,0.8338061869765852,9,cluster_0,principal component 76
92,0.8338403691676637,8,cluster_0,principal component 69
93,0.8338403691676637,7,cluster_0,principal component 99
94,0.8338061869765852,6,cluster_0,principal component 95
95,0.8337720047855067,5,cluster_0,principal component 77
96,0.8338403691676637,4,cluster_0,principal component 68
97,0.8338061869765852,3,cluster_0,principal component 79
98,0.8336352760211929,2,cluster_0,principal component 88
99,0.8337378225944283,1,cluster_0,principal component 98
100,1.0,100,cluster_1,principal component 2
101,1.0,99,cluster_1,principal component 6
102,1.0,98,cluster_1,principal component 19
103,0.9999316356178432,97,cluster_1,principal component 12
104,1.0,96,cluster_1,principal component 3
105,1.0,95,cluster_1,principal component 5
106,1.0,94,cluster_1,principal component 4
107,1.0,93,cluster_1,principal component 1
108,1.0,92,cluster_1,principal component 8
109,1.0,91,cluster_1,principal component 29
110,1.0,90,cluster_1,principal component 9
111,1.0,89,cluster_1,principal component 32
112,1.0,88,cluster_1,principal component 20
113,1.0,87,cluster_1,principal component 22
114,1.0,86,cluster_1,principal component 43
115,0.9999316356178432,85,cluster_1,principal component 18
116,0.9999316356178432,84,cluster_1,principal component 37
117,0.9999316356178432,83,cluster_1,principal component 10
118,0.9999316356178432,82,cluster_1,principal component 14
119,1.0,81,cluster_1,principal component 40
120,0.9999316356178432,80,cluster_1,principal component 55
121,1.0,79,cluster_1,principal component 60
122,0.9999316356178432,78,cluster_1,principal component 11
123,0.9999316356178432,77,cluster_1,principal component 16
124,1.0,76,cluster_1,principal component 46
125,0.9999316356178432,75,cluster_1,principal component 25
126,0.9997949068535293,74,cluster_1,principal component 28
127,0.9999316356178432,73,cluster_1,principal component 30
128,0.9999316356178432,72,cluster_1,principal component 65
129,0.9998632712356862,71,cluster_1,principal component 23
130,0.9997265424713724,70,cluster_1,principal component 38
131,0.9997949068535293,69,cluster_1,principal component 44
132,0.9997949068535293,68,cluster_1,principal component 31
133,0.9997265424713724,67,cluster_1,principal component 34
134,0.9997265424713724,66,cluster_1,principal component 41
135,0.9997265424713724,65,cluster_1,principal component 45
136,0.9997265424713724,64,cluster_1,principal component 49
137,0.9997265424713724,63,cluster_1,principal component 51
138,0.9997265424713724,62,cluster_1,principal component 53
139,0.9997265424713724,61,cluster_1,principal component 48
140,0.9997265424713724,60,cluster_1,principal component 26
141,0.9995898137070586,59,cluster_1,principal component 15
142,0.9997265424713724,58,cluster_1,principal component 63
143,0.9995898137070586,57,cluster_1,principal component 50
144,0.9997265424713724,56,cluster_1,principal component 58
145,0.9995898137070586,55,cluster_1,principal component 21
146,0.9997265424713724,54,cluster_1,principal component 17
147,0.9995898137070586,53,cluster_1,principal component 24
148,0.9995898137070586,52,cluster_1,principal component 56
149,0.9995214493249017,51,cluster_1,principal component 52
150,0.9995898137070586,50,cluster_1,principal component 33
151,0.9995214493249017,49,cluster_1,principal component 35
152,0.9995898137070586,48,cluster_1,principal component 39
153,0.9995898137070586,47,cluster_1,principal component 27
154,0.9995214493249017,46,cluster_1,principal component 54
155,0.9995556315159801,45,cluster_1,principal component 36
156,0.9994872671338233,44,cluster_1,principal component 61
157,0.9994872671338233,43,cluster_1,principal component 59
158,0.9994872671338233,42,cluster_1,principal component 42
159,0.9994872671338233,41,cluster_1,principal component 13
160,0.9994872671338233,40,cluster_1,principal component 47
161,0.9994872671338233,39,cluster_1,principal component 57
162,0.9994872671338233,38,cluster_1,principal component 62
163,0.9995556315159801,37,cluster_1,principal component 7
164,0.9994872671338233,36,cluster_1,principal component 64
