,accuracy,n_components,kind,removed_component
0,1.0,50,grand_raw,principal component 2
1,1.0,49,grand_raw,principal component 25
2,1.0,48,grand_raw,principal component 39
3,1.0,47,grand_raw,principal component 23
4,1.0,46,grand_raw,principal component 40
5,1.0,45,grand_raw,principal component 6
6,1.0,44,grand_raw,principal component 19
7,1.0,43,grand_raw,principal component 33
8,1.0,42,grand_raw,principal component 29
9,1.0,41,grand_raw,principal component 20
10,1.0,40,grand_raw,principal component 42
11,1.0,39,grand_raw,principal component 37
12,1.0,38,grand_raw,principal component 17
13,1.0,37,grand_raw,principal component 41
14,1.0,36,grand_raw,principal component 3
15,1.0,35,grand_raw,principal component 13
16,1.0,34,grand_raw,principal component 26
17,1.0,33,grand_raw,principal component 30
18,1.0,32,grand_raw,principal component 38
19,1.0,31,grand_raw,principal component 8
20,1.0,30,grand_raw,principal component 21
21,1.0,29,grand_raw,principal component 4
22,1.0,28,grand_raw,principal component 32
23,1.0,27,grand_raw,principal component 36
24,1.0,26,grand_raw,principal component 12
25,1.0,25,grand_raw,principal component 1
26,1.0,24,grand_raw,principal component 43
27,1.0,23,grand_raw,principal component 7
28,1.0,22,grand_raw,principal component 45
29,1.0,21,grand_raw,principal component 18
30,1.0,20,grand_raw,principal component 9
31,1.0,19,grand_raw,principal component 46
32,1.0,18,grand_raw,principal component 10
33,1.0,17,grand_raw,principal component 16
34,1.0,16,grand_raw,principal component 49
35,1.0,15,grand_raw,principal component 22
36,1.0,14,grand_raw,principal component 47
37,1.0,13,grand_raw,principal component 34
38,1.0,12,grand_raw,principal component 5
39,1.0,11,grand_raw,principal component 11
40,1.0,10,grand_raw,principal component 35
41,1.0,9,grand_raw,principal component 31
42,1.0,8,grand_raw,principal component 28
43,1.0,7,grand_raw,principal component 14
44,1.0,6,grand_raw,principal component 27
45,1.0,5,grand_raw,principal component 44
46,1.0,4,grand_raw,principal component 24
47,1.0,3,grand_raw,principal component 15
48,0.9778157579900871,2,grand_raw,principal component 50
49,0.4926679200136729,1,grand_raw,principal component 48
