,accuracy,n_features,kind,removed_feature
0,1.0,372,cluster_0,AY_sF1_max_first
1,1.0,372,cluster_1,F0_mean
2,1.0,372,cluster_2,AH_sF3_max
3,1.0,372,cluster_3,AA_sF2_mean_dist
4,1.0,372,cluster_4,percent_creak
5,1.0,371,cluster_0,AH_sF2_mean
6,1.0,371,cluster_1,F0_90
7,1.0,371,cluster_2,F0_mean
8,1.0,371,cluster_3,spectral_F_kurt
9,1.0,371,cluster_4,IH_avg_dur
10,1.0,370,cluster_0,IH_sF3_max
11,1.0,370,cluster_1,IH_sF3_mean
12,1.0,370,cluster_2,AE_sF1_mean_dist
13,1.0,370,cluster_3,AA_sF3_min
14,1.0,370,cluster_4,AO_sF3_min
15,1.0,369,cluster_0,AY_sF1_max_third
16,1.0,369,cluster_1,F0_10
17,1.0,369,cluster_2,F0_10
18,1.0,369,cluster_3,AA_sF3_mean_dist
19,1.0,369,cluster_4,IH_sF1_mean
20,1.0,368,cluster_0,spectral_TH_sdev
21,1.0,368,cluster_1,IY_sF4_mean
22,1.0,368,cluster_2,AH_sF3_mean
23,1.0,368,cluster_3,EY_avg_dur
24,1.0,368,cluster_4,spectral_JH_duration
25,1.0,367,cluster_0,IH_sF4_max
26,1.0,367,cluster_1,IH_sF4_mean
27,1.0,367,cluster_2,AE_sF3_max
28,1.0,367,cluster_3,AA_sF1_mean_dist
29,1.0,367,cluster_4,AO_sF3_mean_dist
30,1.0,366,cluster_0,AY_sF2_max_first
31,1.0,366,cluster_1,IH_sF3_max
32,1.0,366,cluster_2,IH_sF3_mean
33,1.0,366,cluster_3,IY_sF3_mean_dist
34,1.0,366,cluster_4,spectral_DH_intensity
35,1.0,365,cluster_0,AH_sF2_max
36,1.0,365,cluster_1,F0_std
37,1.0,365,cluster_2,IH_sF3_min
38,1.0,365,cluster_3,AA_sF2_mean
39,1.0,365,cluster_4,AY_sF1_max_first
40,1.0,364,cluster_0,IH_sF4_mean
41,1.0,364,cluster_1,IH_sF4_max
42,1.0,364,cluster_2,IH_sF3_max
43,1.0,364,cluster_3,N_avg_dur
44,1.0,364,cluster_4,AY_sF1_max_third
45,1.0,363,cluster_0,spectral_DH_kurt
46,1.0,363,cluster_1,AY_sF1_mean_third
47,1.0,363,cluster_2,AH_sF4_min
48,1.0,363,cluster_3,F0_mean
49,1.0,363,cluster_4,AE_sF3_mean_dist
50,1.0,362,cluster_0,IH_sF4_mean_dist
51,1.0,362,cluster_1,AY_sF1_mean_first
52,1.0,362,cluster_2,AX_sF3_max
