,feature,importance_cluster_1
0,percent_creak,0.024318790618662545
1,EH_sF4_mean,0.023654540205126036
2,IH_sF3_mean_dist,0.02310856839447316
3,K_avg_dur,0.022183297994538415
4,spectral_DH_intensity,0.01592694882781742
5,F0_10,0.015221157618327229
6,EH_sF4_mean_dist,0.014738477796909238
7,IH_avg_dur,0.014345981276631583
8,EH_sF2_mean_dist,0.013838265265828781
9,IH_sF3_max,0.01290123196552493
10,IH_sF1_mean,0.012349668607389125
11,F0_mean,0.011645407702192965
12,spectral_JH_cog,0.011455078197777645
13,IH_sF3_mean,0.01104158428114426
14,IY_sF3_mean,0.010997515984099142
15,AH_sF3_mean,0.010996812243961294
16,spectral_DH_kurt,0.01076803874066825
17,IH_sF4_mean_dist,0.01048518674201266
18,IY_sF3_min,0.010057908805810896
19,spectral_DH_skew,0.009990932457574868
20,EH_sF1_min,0.009697303051706753
21,IY_sF1_mean_dist,0.009534952301543182
22,IH_sF2_mean_dist,0.009442835757293615
23,EH_avg_dur,0.009267121999588972
24,spectral_JH_duration,0.009156558433553279
25,UW_sF2_max,0.009113667173450494
26,IH_sF1_max,0.009077946205494018
27,AE_sF3_min,0.009013452344191533
28,AY_sF1_max_first,0.008397210143780186
29,IH_sF3_min,0.008224431107756317
30,F0_90,0.007282651839525923
31,AY_sF1_max_third,0.007122157465841142
32,IH_sF2_mean,0.006745115134347383
33,AH_sF4_mean_dist,0.006591825778682077
34,AH_sF2_mean_dist,0.006439985747906153
35,M_avg_dur,0.005906420725518808
36,AE_sF3_mean_dist,0.005869667896166174
37,spectral_S_skew,0.005785343507314677
38,IY_sF2_mean,0.005783199084012682
39,EH_sF2_max,0.005676998302276139
40,spectral_F_cog,0.00552642244895324
41,IH_sF4_max,0.005438337565096317
42,AH_sF3_max,0.005395608925471689
43,W_avg_dur,0.0053119253689125085
44,EH_sF1_mean_dist,0.005275649381494156
45,AH_sF1_min,0.005230624671897261
46,AA_sF4_mean_dist,0.0051811180862838275
47,spectral_Z_skew,0.005179259295018937
48,UW_sF2_min,0.005099008508860571
49,AH_sF4_max,0.0050486540593197545
50,IY_sF2_max,0.005022509602296841
51,EH_sF1_max,0.0049250112987071935
52,AO_sF3_min,0.004906834620877758
53,N_avg_dur,0.004894954080320657
54,EH_sF4_max,0.0047596835905896915
55,F0_range,0.004757181789725924
56,spectral_DH_cog,0.00470263676547271
57,AY_sF3_max_third,0.00469429459878975
58,AH_avg_dur,0.004662876382757517
59,OW_avg_dur,0.004656256430697107
60,R_avg_dur,0.004594652475140898
61,AY_sF3_max_first,0.004507658479315941
62,IY_sF3_max,0.004497860008194833
63,AH_sF2_max,0.004490416165330678
64,IH_sF4_min,0.004392674890731493
65,EH_sF1_mean,0.004298421315151159
66,AY_sF3_mean_third,0.004237832834163438
67,IY_sF2_min,0.004225800214860096
68,AY_sF1_mean_third,0.004213118256135157
69,EH_sF4_min,0.004176375649045185
70,AH_sF2_mean,0.004154775163995646
71,AY_sF1_mean_first,0.004127232499937078
72,AY_sF1_min_third,0.004094390520964377
73,OW_sF2_min_first,0.004040052057582288
74,spectral_DH_duration,0.0038923545565966696
75,AH_sF3_min,0.0038251099236766024
76,spectral_S_cog,0.0038090642891627207
77,spectral_Z_cog,0.0038014861952430914
78,AE_sF1_max,0.0037511883843622945
79,AO_sF3_mean_dist,0.0037491302419020616
80,spectral_F_intensity,0.0037048521969889575
81,OW_sF2_min_third,0.003700289731466169
82,AE_sF3_max,0.003694347771684898
83,F0_std,0.0036402270284902963
84,AY_avg_dur,0.003631773435621311
85,AE_sF3_mean,0.003607356189262739
86,IY_sF4_mean_dist,0.0036044993682291054
87,AY_sF4_min_third,0.0035438325053430437
88,AY_sF3_min_third,0.0035133877193946283
89,UW_sF3_max,0.0034959018928215012
90,IY_sF1_mean,0.003467443243609236
91,AY_sF3_min_first,0.003437755624945649
92,vowel_avg_dur,0.003435493399662432
93,AH_sF4_mean,0.0033541618333959157
94,AY_sF1_min_first,0.003352522468609854
95,IH_sF2_max,0.0033149609643508262
96,T_avg_dur,0.0033101678478406732
97,UW_sF4_mean_dist,0.0032944233092181067
98,AE_sF2_max,0.0032230133763416205
99,IY_sF1_min,0.0032096552942244834
100,IH_sF2_min,0.0031961183594739055
101,AH_sF1_mean_dist,0.0031679823776735246
102,IY_sF1_max,0.003113185214657346
103,AE_sF2_mean_dist,0.003108900586318722
104,AY_sF4_mean_first,0.003107582078839017
105,AY_sF4_min_first,0.003048481761293616
106,AH_sF3_mean_dist,0.003044857466932852
107,spectral_S_duration,0.0030294690928324352
108,IH_sF4_mean,0.0030182371728215405
109,AE_sF2_min,0.0030146029100741973
110,UW_sF1_mean,0.002922253532920239
111,UW_sF1_max,0.002904224646371218
112,AY_sF3_mean_first,0.0028967266110284415
113,UW_sF1_min,0.0028881606822217403
114,P_avg_dur,0.0028590288130960428
115,D_avg_dur,0.0028474794262665273
116,spectral_JH_sdev,0.0028468739351194495
117,IH_sF1_min,0.002841968796197488
118,AA_sF1_mean,0.002789307713677655
119,spectral_Z_kurt,0.002769754558668817
120,spectral_SH_cog,0.0027689402583800857
121,AH_sF2_min,0.0027636795537570344
122,IH_sF1_mean_dist,0.0027348914699224926
123,AE_sF1_mean,0.0027263729853436395
124,spectral_DH_sdev,0.0026815018632451422
125,UW_sF2_mean_dist,0.0026777115883559635
126,AY_sF2_min_third,0.0026682904114493297
127,AA_sF1_min,0.002636547244337831
128,spectral_JH_skew,0.0026309200380602357
129,AE_avg_dur,0.0025788862126162907
130,IY_avg_dur,0.0025428570931004977
131,AE_sF1_min,0.002491843855837197
132,IY_sF2_mean_dist,0.0024750578083517815
133,AH_sF4_min,0.0024468703219969875
134,NG_avg_dur,0.00244384120087221
135,AY_sF4_mean_third,0.0024419542235752877
136,IY_sF4_max,0.002376606395222305
137,UW_avg_dur,0.002376227898915118
138,ER_avg_dur,0.0023464817991721005
139,AA_sF1_max,0.0023125963396875312
140,EH_sF2_min,0.0022891323097438696
141,AY_sF2_max_third,0.0022881211309257843
142,IY_sF4_mean,0.0022812410771605985
143,OW_sF2_max_third,0.0022613023565388507
144,AY_sF2_min_first,0.0022195673203611118
145,L_avg_dur,0.002200530747485702
146,spectral_S_intensity,0.002178697360990057
147,AE_sF2_mean,0.0021457867688908614
148,EH_sF3_min,0.002145139213820967
149,G_avg_dur,0.002119967025516903
150,AY_sF4_max_third,0.002108912436909313
151,AO_sF3_mean,0.002100952588450086
152,IY_sF4_min,0.002098404805419377
153,AO_sF3_max,0.0020967048101479158
154,OW_sF2_mean_third,0.002094507672874531
155,AE_sF4_mean,0.0020515026643417936
156,UH_sF2_mean,0.0020373014971384958
157,AY_sF2_max_first,0.0020067067427085297
158,AH_sF1_max,0.0020029813989632405
159,UW_sF3_min,0.001979967985802144
160,spectral_V_cog,0.001974774685752027
161,UW_sF3_mean,0.0019675218026769603
162,EH_sF2_mean,0.0019638431389747035
163,AY_sF2_mean_third,0.0019504682092888993
164,UW_sF4_min,0.001905450746230391
165,OW_sF2_mean_first,0.0018776572100447572
166,AA_sF3_mean,0.0018540427901656503
167,spectral_Z_duration,0.001845986617917729
168,AA_sF3_max,0.001835510386631111
169,UW_sF4_max,0.0018213363331358657
170,spectral_S_sdev,0.0018089508788134174
171,UW_sF2_mean,0.001803862864569706
172,UH_sF2_min,0.0017209278142096272
173,EH_sF3_mean,0.0017150323427717982
174,AE_sF1_mean_dist,0.0017141690446945417
175,AH_sF1_mean,0.0016860477163137156
176,AE_sF4_mean_dist,0.0016797756657815658
177,UH_sF2_max,0.0016744038933228505
178,UW_sF1_mean_dist,0.0016705979065173545
179,UW_sF4_mean,0.0016675755062785212
180,AA_sF2_mean_dist,0.0016426570792158128
181,AY_sF4_max_first,0.0016238700782080198
182,EH_sF3_max,0.0016083104079664741
183,AE_sF4_max,0.0015859145408782544
184,spectral_S_kurt,0.0015823819052786963
185,AA_sF3_min,0.0015728276826102092
186,spectral_F_duration,0.0015527732634397584
187,OW_sF1_min_third,0.001548176447610039
188,spectral_TH_cog,0.001481185981432209
189,spectral_V_kurt,0.001460649213178821
190,spectral_TH_skew,0.0014546599234919308
191,spectral_F_skew,0.0014518958546266272
192,spectral_V_skew,0.0014493748989182274
193,OW_sF2_max_first,0.0014239728943910622
194,AA_sF2_min,0.0014168359676553902
195,AE_sF4_min,0.0013451969368655037
196,EH_sF3_mean_dist,0.0013027869008337988
197,UW_sF3_mean_dist,0.0012740132118145857
198,AA_avg_dur,0.0012224359298781831
199,AO_sF4_min,0.001195484653258049
200,OW_sF4_mean_third,0.0011879828098408918
201,OW_sF4_min_third,0.0011794630605800353
202,AO_sF4_max,0.0011747607241172782
203,spectral_F_sdev,0.0011594712405619846
204,Y_avg_dur,0.0011503989101124795
205,AO_avg_dur,0.0011063385926864129
206,spectral_F_kurt,0.0010794771074782747
207,spectral_TH_intensity,0.0010554614982061675
208,EY_sF1_mean_first,0.001053077862169936
209,spectral_TH_kurt,0.0010443236104389038
210,IY_sF3_mean_dist,0.001042240821047647
211,spectral_TH_duration,0.0010369357054578823
212,AO_sF4_mean,0.0010365860569196844
213,EY_sF4_max_third,0.001033710013221984
214,EY_sF2_min_first,0.0010166570355809987
215,EY_sF2_min_third,0.0009774405969620703
216,spectral_JH_kurt,0.00097250782896014
217,AA_sF1_mean_dist,0.0009691253002558541
218,AY_sF2_mean_first,0.0009618283901660687
219,spectral_V_sdev,0.0009383608821621604
220,OW_sF3_min_third,0.0009306988237356423
221,AO_sF1_min,0.0009096562885039541
222,OW_sF4_max_first,0.0009029678947217407
223,AA_sF2_mean,0.0009009275933133361
224,spectral_Z_sdev,0.0008870557882831407
225,AW_avg_dur,0.0008821280320170359
226,AA_sF4_min,0.0008805380294736153
227,spectral_V_intensity,0.0008744907987983249
228,spectral_V_duration,0.000847560232594718
229,OW_sF3_min_first,0.0008425838411820543
230,EY_sF3_max_first,0.0008397435464353731
231,AW_sF1_min_first,0.0008395201551639187
232,AO_sF2_max,0.0008166335322653805
233,OW_sF4_min_first,0.0007787457969833131
234,OW_sF3_max_third,0.0007679980145253008
235,OW_sF4_max_third,0.0007676537419018069
236,AX_sF2_mean,0.0007615697955251834
237,AO_sF2_min,0.0007519971291621582
238,OW_sF4_mean_first,0.0007444810549570497
239,spectral_Z_intensity,0.0007314115108008939
240,AA_sF3_mean_dist,0.0007163936738002651
241,EY_avg_dur,0.000704802788592284
242,AW_sF3_min_first,0.0007037979162673795
243,EY_sF4_mean_first,0.0007030237756865679
244,AO_sF2_mean,0.0006898780057270718
245,EY_sF3_mean_first,0.0006869621081787705
246,OW_sF3_max_first,0.0006841690113950439
247,AO_sF1_mean_dist,0.0006816839637916828
248,spectral_TH_sdev,0.0006802681620090367
249,EY_sF1_min_third,0.0006674852324322146
250,AW_sF1_min_third,0.0006659596024265376
251,AA_sF2_max,0.0006651218717856115
252,AO_sF1_mean,0.0006404602620027575
253,AX_sF4_mean,0.0006329449825110148
254,AA_sF4_max,0.0006288193494529911
255,EY_sF4_max_first,0.0006280696521315615
256,AW_sF4_min_first,0.0006264328020451272
257,HH_avg_dur,0.0006185024337381556
258,AA_sF4_mean,0.0006104311698979326
259,EY_sF1_max_first,0.0005997242619283744
260,OW_sF1_max_third,0.0005851163120858583
261,EY_sF1_max_third,0.0005741933172712028
262,AO_sF2_mean_dist,0.0005658903146201037
263,EY_sF3_min_third,0.0005629737460146434
264,EY_sF1_mean_third,0.0005525312086609143
265,OY_sF2_mean_third,0.0005493124548312855
266,EY_sF3_mean_third,0.0005454800620193287
267,OW_sF1_mean_first,0.0005340804596032301
268,EY_sF1_min_first,0.0005149797130427968
269,UH_sF2_mean_dist,0.0005139614053719717
270,OW_sF3_mean_first,0.0005021158102869467
271,AO_sF4_mean_dist,0.0005010174318766829
272,OY_sF4_max_first,0.00048779549309539146
273,EY_sF4_mean_third,0.0004826600113718134
274,AW_sF4_mean_third,0.00047793047624847187
275,OY_sF3_min_first,0.00047222615099219934
276,OY_sF1_min_third,0.0004713208111275357
277,AX_sF4_mean_dist,0.00046910618517752794
278,UH_sF4_max,0.000467112232095222
279,OW_sF1_max_first,0.0004616988608623077
280,AO_sF1_max,0.0004539219436964743
281,spectral_JH_intensity,0.00044935054080649664
282,AX_sF1_mean_dist,0.0004376335318015658
283,AX_sF3_min,0.00043079308972991366
284,EY_sF4_min_first,0.0004238901492236567
285,AW_sF1_mean_third,0.00042207192807881366
286,UH_sF1_min,0.0004212529663921072
287,OW_sF3_mean_third,0.00041137305504892487
288,OY_sF1_max_first,0.0004047209959613004
289,spectral_SH_intensity,0.00039820846983078966
290,OY_sF3_max_first,0.0003931964510425426
291,OY_sF2_max_first,0.0003920184495448403
292,AW_sF3_max_first,0.0003912123280525107
293,OY_sF3_min_third,0.00038851014579637807
294,AW_sF3_mean_third,0.00038669751874673646
295,UH_sF4_mean,0.0003835301360616423
296,AW_sF4_max_first,0.00037857421518261414
297,B_avg_dur,0.0003753645280074597
298,UH_sF3_max,0.00037270708260851774
299,EY_sF2_max_first,0.0003703502149571196
300,EY_sF4_min_third,0.000370204208509216
301,AX_sF2_min,0.000364394941219881
302,OW_sF1_mean_third,0.00036062077351317867
303,OY_sF2_min_third,0.00036009109130847206
304,AW_sF2_mean_third,0.00034237038442166636
305,AX_avg_dur,0.00033585309715246245
306,OW_sF1_min_first,0.00033496525116146885
307,AX_sF2_mean_dist,0.0003336850376205745
308,AW_sF4_max_third,0.00033198468715144405
309,EY_sF2_mean_first,0.0003268502476881698
310,EY_sF3_min_first,0.00031804355674326456
311,AW_sF4_min_third,0.0003154403269818797
312,OY_sF1_min_first,0.00031335039671674425
313,AW_sF3_min_third,0.00031232646643882005
314,AX_sF1_max,0.00031155305546235243
315,EY_sF2_mean_third,0.0003106808699236015
316,AX_sF2_max,0.0003021274403255822
317,OY_avg_dur,0.00030127857964879656
318,AW_sF3_mean_first,0.0003009323277095753
319,EY_sF3_max_third,0.00028530595856602334
320,AX_sF4_max,0.00028346227840410647
321,OY_sF2_min_first,0.00028126341032897823
322,AW_sF3_max_third,0.0002802272239980846
323,OY_sF3_mean_first,0.0002786977712589569
324,AW_sF2_max_first,0.0002764508268195693
325,OY_sF4_min_third,0.00026891763742953784
326,AX_sF1_mean,0.0002674334179844722
