,accuracy,n_components,kind,removed_feature
0,1.0,10,cluster_0,principal component 2
1,1.0,9,cluster_0,principal component 6
2,1.0,8,cluster_0,principal component 7
3,1.0,7,cluster_0,principal component 3
4,1.0,6,cluster_0,principal component 8
5,1.0,5,cluster_0,principal component 5
6,1.0,4,cluster_0,principal component 10
7,1.0,3,cluster_0,principal component 1
8,0.9998632712356862,2,cluster_0,principal component 9
9,0.9957272261151939,1,cluster_0,principal component 4
10,1.0,10,cluster_1,principal component 2
11,1.0,9,cluster_1,principal component 5
12,1.0,8,cluster_1,principal component 6
13,1.0,7,cluster_1,principal component 7
14,1.0,6,cluster_1,principal component 8
15,1.0,5,cluster_1,principal component 10
16,1.0,4,cluster_1,principal component 4
17,1.0,3,cluster_1,principal component 3
18,1.0,2,cluster_1,principal component 9
19,0.9888224235173475,1,cluster_1,principal component 1
20,1.0,10,cluster_2,principal component 2
21,1.0,9,cluster_2,principal component 9
22,1.0,8,cluster_2,principal component 4
23,1.0,7,cluster_2,principal component 6
24,1.0,6,cluster_2,principal component 10
25,1.0,5,cluster_2,principal component 8
26,1.0,4,cluster_2,principal component 5
27,1.0,3,cluster_2,principal component 7
28,0.9999658178089216,2,cluster_2,principal component 1
29,0.9996239958981371,1,cluster_2,principal component 3
30,1.0,10,cluster_3,principal component 3
31,1.0,9,cluster_3,principal component 9
32,1.0,8,cluster_3,principal component 4
33,1.0,7,cluster_3,principal component 1
34,1.0,6,cluster_3,principal component 8
35,1.0,5,cluster_3,principal component 5
36,1.0,4,cluster_3,principal component 2
37,1.0,3,cluster_3,principal component 6
38,1.0,2,cluster_3,principal component 7
39,0.992445735771663,1,cluster_3,principal component 10
40,1.0,10,cluster_4,principal component 2
41,1.0,9,cluster_4,principal component 9
42,1.0,8,cluster_4,principal component 8
43,1.0,7,cluster_4,principal component 1
44,1.0,6,cluster_4,principal component 4
45,1.0,5,cluster_4,principal component 5
46,1.0,4,cluster_4,principal component 3
47,1.0,3,cluster_4,principal component 7
48,0.9994530849427449,2,cluster_4,principal component 6
49,0.9913860878482311,1,cluster_4,principal component 10
