,feature,importance_cluster_1
0,F0_mean,0.06961926786486579
1,IH_sF3_mean,0.04746095873673582
2,F0_90,0.04345197984393856
3,F0_10,0.03989063484257028
4,IY_sF4_mean,0.025243889578498612
5,AY_sF1_mean_third,0.022021626534831917
6,IH_sF4_max,0.02090687915998079
7,IY_sF2_max,0.019729896797783752
8,F0_std,0.019653173199736106
9,IY_sF2_mean,0.019301675984242206
10,IH_sF4_mean,0.019242359297985834
11,AY_sF1_mean_first,0.018362061310156864
12,IH_sF3_max,0.017632465060946824
13,AY_sF1_min_third,0.015414536810817309
14,IH_sF4_min,0.014642104746132895
15,IH_sF3_min,0.014604220820880767
16,IY_sF4_min,0.014440580946939808
17,AY_sF1_min_first,0.013073165461026177
18,IY_sF3_min,0.012517222454362896
19,IY_sF2_mean_dist,0.012123102790195522
20,IH_sF2_mean,0.010975090985931791
21,IY_sF3_mean,0.0096675670625545
22,F0_range,0.008652845907262091
23,AH_sF4_mean,0.008192254046575096
24,spectral_S_cog,0.007731305108689253
25,IH_sF3_mean_dist,0.007619560342767401
26,IY_sF3_max,0.007508517510340613
27,IH_sF2_min,0.0070641386170247795
28,IY_sF1_mean,0.006456174688173457
29,AY_sF1_max_first,0.006431406952294547
30,AH_sF4_max,0.006387238347258878
31,AY_sF1_max_third,0.006281748326279498
32,AE_sF4_mean,0.006203061779476954
33,IY_sF1_max,0.005770828645785922
34,AA_sF1_min,0.005546571805591458
35,IY_sF4_max,0.0054706128759154015
36,AH_sF3_max,0.005439048925977219
37,EY_sF4_min_first,0.0054288148307255
38,AY_sF2_min_third,0.005328682681180692
39,OW_sF3_max_first,0.005297035656557262
40,OW_sF3_max_third,0.005032595446967669
41,IY_sF1_mean_dist,0.0047007889502312305
42,spectral_Z_cog,0.004303083451108155
43,AY_sF4_min_first,0.004275672415722326
44,IH_sF2_max,0.00421167500032858
45,AE_sF1_max,0.004191570360030334
46,AH_sF3_mean,0.004009212130085971
47,AY_sF4_mean_first,0.0038583530715855584
48,IH_sF1_min,0.003776680994252597
49,IH_avg_dur,0.0036900117069125064
50,spectral_Z_intensity,0.0036492962723822754
51,AY_sF4_mean_third,0.0036279723159969132
52,percent_creak,0.0035650175313910624
53,AY_sF2_min_first,0.003466571498662202
54,AA_sF2_mean_dist,0.0033377387967052775
55,M_avg_dur,0.003330648405790506
56,AE_sF4_min,0.0033263333756463147
57,EY_sF1_mean_first,0.0033228827073833542
58,EY_sF1_max_first,0.0032623063419977044
59,EY_sF1_max_third,0.00322697488111933
60,AE_sF1_mean,0.0032079622433945983
61,spectral_DH_duration,0.0032046785040190143
62,AH_sF4_min,0.003190506561863774
63,AE_sF1_mean_dist,0.003097478118169949
64,K_avg_dur,0.003093997868402896
65,spectral_V_kurt,0.003047138655369298
66,EY_sF4_mean_first,0.0030169523938544927
67,AE_sF3_mean_dist,0.0029658876747334457
68,AE_sF3_max,0.00291762480267672
69,IH_sF1_max,0.0028935984650245816
70,AY_sF4_min_third,0.002892032027295502
71,AA_sF2_max,0.0028652407564939875
72,AH_sF2_min,0.002828742425990633
73,spectral_DH_cog,0.0027831508378222277
74,UW_sF2_mean,0.002783049363656438
75,EY_sF1_mean_third,0.0027073297321622276
76,AH_sF3_min,0.0026583061838384207
77,AE_sF3_min,0.002653013802952297
78,spectral_S_skew,0.0026509087995349404
79,D_avg_dur,0.0025958298020084536
80,AA_sF1_mean_dist,0.0024755820960200695
81,IY_sF4_mean_dist,0.00246777204214837
82,AA_sF4_min,0.0024571249791285198
83,AA_avg_dur,0.0024202023948851742
84,AA_sF4_mean,0.0023776980302658932
85,EY_sF4_max_third,0.0023352852333453837
86,AH_sF2_max,0.0023183101209508245
87,AH_sF1_mean,0.0023004787642274104
88,spectral_V_cog,0.0022970870876925396
89,OW_sF3_min_first,0.0022187693314932723
90,L_avg_dur,0.0022012275146621758
91,spectral_V_skew,0.0021826591516012983
92,OW_sF1_min_first,0.002182371110817181
93,AE_sF2_mean_dist,0.0021803884208171577
94,spectral_S_kurt,0.002155165488437458
95,AA_sF4_max,0.002152615312032048
96,EY_sF3_min_first,0.002103902682556531
97,AA_sF2_min,0.0020346317332357758
98,EY_sF4_min_third,0.001992114653433988
99,vowel_avg_dur,0.0019874591702173953
100,AA_sF1_max,0.0019740067944179584
101,AH_sF2_mean,0.0019621402102768695
102,AY_sF2_mean_third,0.0019350739167950405
103,AH_sF1_max,0.0018937007482089257
104,AE_sF3_mean,0.0018523742616281345
105,IY_sF2_min,0.00183304201588484
106,spectral_Z_duration,0.0018280744354861622
107,IH_sF4_mean_dist,0.0017943879277632557
108,IH_sF1_mean,0.0017671125447571605
109,spectral_DH_sdev,0.0017648647933990057
110,spectral_S_duration,0.0017510542100937514
111,UW_sF1_max,0.001724301991006563
112,AE_sF2_max,0.0016795138763915313
113,spectral_DH_kurt,0.0016741515826568022
114,AY_sF4_max_first,0.001646955309971888
115,OW_sF3_mean_third,0.001617168032314922
116,AH_avg_dur,0.0016106523131933644
117,spectral_S_sdev,0.0016020815695591676
118,AA_sF1_mean,0.001584157286930039
119,AY_sF4_max_third,0.0015769936926259343
120,AW_sF2_max_first,0.001573925605457308
121,NG_avg_dur,0.0015558281710438156
122,AW_sF4_max_third,0.0015481575908757757
123,spectral_V_sdev,0.001531590741186295
124,OW_sF3_min_third,0.0015311232150511354
125,EY_sF4_mean_third,0.0015304462112165668
126,spectral_Z_skew,0.0015013088469188135
127,AX_sF4_mean,0.0014930084549803367
128,OW_sF1_mean_first,0.001486059697745601
129,AH_sF2_mean_dist,0.0014859528512040233
130,OW_sF1_mean_third,0.0014751217817837983
131,OW_sF3_mean_first,0.0014663074542240655
132,EY_sF1_min_third,0.0014637348042277594
133,IH_sF1_mean_dist,0.001461463797279559
134,ER_avg_dur,0.001455776524839353
135,spectral_TH_intensity,0.001447669166702939
136,spectral_TH_kurt,0.0014184002037532343
137,spectral_TH_skew,0.0014088858434698989
