,accuracy,n_features,kind,removed_feature
0,1.0,372,grand_raw,F0_mean
1,1.0,371,grand_raw,F0_10
2,1.0,370,grand_raw,IH_sF3_max
3,1.0,369,grand_raw,IH_sF3_mean
4,1.0,368,grand_raw,F0_90
5,1.0,367,grand_raw,AH_sF3_max
6,1.0,366,grand_raw,AH_sF3_mean
7,1.0,365,grand_raw,IH_sF4_mean
8,1.0,364,grand_raw,IH_sF3_min
9,1.0,363,grand_raw,IH_sF4_max
10,1.0,362,grand_raw,AH_sF4_min
11,1.0,361,grand_raw,AH_sF4_mean
12,1.0,360,grand_raw,IH_sF2_mean
13,1.0,359,grand_raw,IH_sF4_min
14,1.0,358,grand_raw,AY_sF4_min_first
15,1.0,357,grand_raw,AE_sF3_max
16,1.0,356,grand_raw,AY_sF4_min_third
17,1.0,355,grand_raw,AH_sF3_min
18,1.0,354,grand_raw,IY_sF3_max
19,1.0,353,grand_raw,IY_sF4_mean
20,1.0,352,grand_raw,IY_sF3_mean
21,1.0,351,grand_raw,spectral_S_skew
22,1.0,350,grand_raw,IH_sF2_max
23,1.0,349,grand_raw,AH_sF4_max
24,1.0,348,grand_raw,spectral_S_cog
25,1.0,347,grand_raw,spectral_S_duration
26,1.0,346,grand_raw,IY_sF2_max
27,1.0,345,grand_raw,IH_sF1_mean
28,1.0,344,grand_raw,IY_sF1_mean
29,1.0,343,grand_raw,IH_sF2_min
30,1.0,342,grand_raw,AE_sF4_min
31,1.0,341,grand_raw,AH_sF2_max
32,1.0,340,grand_raw,IH_sF1_max
33,1.0,339,grand_raw,AE_sF3_min
34,1.0,338,grand_raw,IY_sF4_min
35,1.0,337,grand_raw,AE_sF3_mean
36,1.0,336,grand_raw,F0_std
37,1.0,335,grand_raw,IY_sF4_max
38,1.0,334,grand_raw,IY_sF3_min
39,1.0,333,grand_raw,IH_sF2_mean_dist
40,1.0,332,grand_raw,EH_sF4_mean
41,1.0,331,grand_raw,AE_sF4_mean
42,1.0,330,grand_raw,AE_sF2_min
43,1.0,329,grand_raw,EH_sF4_mean_dist
44,1.0,328,grand_raw,IY_sF2_mean
45,1.0,327,grand_raw,percent_creak
46,1.0,326,grand_raw,IH_avg_dur
47,1.0,325,grand_raw,IH_sF3_mean_dist
48,1.0,324,grand_raw,UW_sF4_min
49,1.0,323,grand_raw,AY_sF4_mean_third
50,1.0,322,grand_raw,AY_sF4_mean_first
51,1.0,321,grand_raw,AH_avg_dur
52,1.0,320,grand_raw,AY_sF2_min_first
53,1.0,319,grand_raw,AY_sF1_min_first
54,1.0,318,grand_raw,AY_sF1_min_third
55,1.0,317,grand_raw,AY_sF2_min_third
56,1.0,316,grand_raw,AY_sF1_mean_third
57,1.0,315,grand_raw,EH_sF4_max
58,1.0,314,grand_raw,AY_sF1_mean_first
59,1.0,313,grand_raw,F0_range
60,1.0,312,grand_raw,spectral_DH_intensity
61,1.0,311,grand_raw,UW_sF3_mean
62,1.0,310,grand_raw,UW_sF1_max
63,1.0,309,grand_raw,AH_sF2_mean
64,1.0,308,grand_raw,UW_sF1_mean
65,1.0,307,grand_raw,UW_sF3_min
66,1.0,306,grand_raw,UW_sF3_max
67,1.0,305,grand_raw,IH_sF4_mean_dist
68,1.0,304,grand_raw,UW_sF2_max
69,1.0,303,grand_raw,AE_sF2_mean
70,1.0,302,grand_raw,EH_avg_dur
71,1.0,301,grand_raw,EH_sF1_mean
72,1.0,300,grand_raw,AY_sF1_max_first
73,1.0,299,grand_raw,AE_sF2_max
74,1.0,298,grand_raw,AY_sF1_max_third
75,1.0,297,grand_raw,AX_sF3_min
76,1.0,296,grand_raw,spectral_TH_intensity
77,1.0,295,grand_raw,IY_sF1_max
78,1.0,294,grand_raw,AY_sF4_max_third
79,1.0,293,grand_raw,IH_sF1_min
80,1.0,292,grand_raw,IY_sF2_mean_dist
81,1.0,291,grand_raw,spectral_V_intensity
82,1.0,290,grand_raw,AX_sF4_min
83,1.0,289,grand_raw,EH_sF3_max
84,1.0,288,grand_raw,spectral_DH_skew
85,1.0,287,grand_raw,UW_sF2_mean_dist
86,1.0,286,grand_raw,AY_sF2_max_third
87,1.0,285,grand_raw,AY_sF2_max_first
88,1.0,284,grand_raw,AA_sF3_min
89,1.0,283,grand_raw,AX_sF1_min
90,1.0,282,grand_raw,AX_sF3_mean
91,1.0,281,grand_raw,AY_sF2_mean_third
92,1.0,280,grand_raw,AY_sF4_max_first
93,1.0,279,grand_raw,N_avg_dur
94,1.0,278,grand_raw,EH_sF1_max
95,1.0,277,grand_raw,AE_sF1_mean_dist
96,1.0,276,grand_raw,AX_sF3_max
97,1.0,275,grand_raw,AY_sF2_mean_first
98,1.0,274,grand_raw,spectral_S_sdev
99,1.0,273,grand_raw,UW_sF4_mean
100,1.0,272,grand_raw,AH_sF1_max
101,1.0,271,grand_raw,spectral_S_kurt
102,1.0,270,grand_raw,K_avg_dur
103,1.0,269,grand_raw,UW_sF2_mean
104,1.0,268,grand_raw,AX_sF4_mean
105,1.0,267,grand_raw,IY_sF1_mean_dist
106,1.0,266,grand_raw,EH_sF1_min
107,1.0,265,grand_raw,IY_sF1_min
108,1.0,264,grand_raw,EH_sF2_mean_dist
109,1.0,263,grand_raw,EH_sF2_max
110,1.0,262,grand_raw,UW_sF4_max
111,1.0,261,grand_raw,AE_sF4_max
112,1.0,260,grand_raw,AX_sF1_mean
113,1.0,259,grand_raw,EH_sF3_mean
114,1.0,258,grand_raw,AH_sF1_mean
115,1.0,257,grand_raw,spectral_F_intensity
116,1.0,256,grand_raw,AH_sF3_mean_dist
117,1.0,255,grand_raw,AX_sF4_max
118,1.0,254,grand_raw,spectral_DH_duration
119,1.0,253,grand_raw,ER_avg_dur
120,1.0,252,grand_raw,spectral_Z_cog
121,1.0,251,grand_raw,IY_avg_dur
122,1.0,250,grand_raw,AY_avg_dur
123,1.0,249,grand_raw,spectral_V_kurt
124,1.0,248,grand_raw,AH_sF1_min
125,1.0,247,grand_raw,AH_sF2_mean_dist
126,1.0,246,grand_raw,UW_sF2_min
127,1.0,245,grand_raw,EY_sF4_min_first
128,1.0,244,grand_raw,vowel_avg_dur
129,1.0,243,grand_raw,AY_sF3_max_first
130,1.0,242,grand_raw,EY_sF4_mean_third
131,1.0,241,grand_raw,EY_sF4_mean_first
132,1.0,240,grand_raw,spectral_DH_kurt
133,1.0,239,grand_raw,IY_sF4_mean_dist
134,1.0,238,grand_raw,AY_sF3_max_third
135,1.0,237,grand_raw,AH_sF2_min
136,1.0,236,grand_raw,EY_sF4_min_third
137,1.0,235,grand_raw,EY_sF4_max_first
138,1.0,234,grand_raw,EH_sF4_min
139,1.0,233,grand_raw,EY_sF4_max_third
