,feature,grand_importance
0,F0_mean,0.03815644119848366
1,F0_10,0.025280010911583356
2,IH_sF3_mean,0.02439712979601207
3,F0_90,0.02375153951922477
4,IH_sF4_max,0.020196743930823883
5,IH_sF3_max,0.018319044846953878
6,AH_sF3_max,0.016607064807935383
7,percent_creak,0.01325634194796219
8,AH_sF3_mean,0.012756767105090903
9,IH_sF4_mean,0.01211712456108779
10,IH_sF1_mean,0.012072497977991084
11,IY_sF4_mean,0.011989668637166492
12,F0_std,0.011829151099348298
13,IH_sF3_min,0.011722453711439863
14,IH_sF1_max,0.01113957974902492
15,IH_sF4_min,0.011117545835902095
16,AE_sF1_mean_dist,0.010754666506262365
17,AH_sF4_mean,0.010484656033762332
18,spectral_S_cog,0.010075503440538577
19,AY_sF1_mean_third,0.00986902411927718
20,IH_sF2_max,0.009669579559344037
21,IH_sF2_mean,0.009663728785360952
22,AY_sF1_mean_first,0.009648019386228838
23,AH_sF2_min,0.009270281878633567
24,IH_sF3_mean_dist,0.008523633361854892
25,F0_range,0.00793028067597447
26,K_avg_dur,0.007869127554100113
27,ER_avg_dur,0.007843558142576923
28,AY_sF1_min_first,0.007424801973665897
29,IH_sF2_min,0.007414088437404806
30,AH_sF3_min,0.007195627581861991
31,D_avg_dur,0.007162596348715598
32,AY_sF1_min_third,0.007149744892099959
33,AH_sF4_min,0.007020770076444151
34,IY_sF2_mean,0.006602111291051295
35,AH_sF2_mean,0.006431742757585398
36,IY_sF2_max,0.006382547678124717
37,AA_sF2_mean_dist,0.006359591236488938
38,AE_sF3_min,0.0063539555329542256
39,IY_sF4_min,0.006328041102297161
40,AY_sF1_max_first,0.006033807762542464
41,AY_sF1_max_third,0.005686956448692644
42,IH_sF1_min,0.005662784672156107
43,spectral_Z_cog,0.00550806257743128
44,IY_sF3_mean,0.005475734184387156
45,IY_sF3_min,0.005446864677035462
46,AH_sF2_mean_dist,0.005437447644037192
47,IY_sF2_mean_dist,0.005224244772854029
48,IH_sF4_mean_dist,0.005222543775283255
49,vowel_avg_dur,0.0052029336720161795
50,AH_sF4_max,0.005202705146679368
51,IH_avg_dur,0.005130734186634999
52,AE_sF3_mean_dist,0.004849027000623576
53,AH_sF1_mean,0.0048323783783370605
54,AH_avg_dur,0.004796582269216701
55,UW_sF2_min,0.004762701824761841
56,AE_sF4_mean,0.004752901015869013
57,AH_sF1_max,0.0047500957649593565
58,L_avg_dur,0.004612220431942094
59,AE_sF4_min,0.0045416254409850875
60,IY_sF4_mean_dist,0.004490165126116207
61,T_avg_dur,0.004458948861067458
62,AE_sF1_mean,0.004379158239915545
63,AY_sF4_max_third,0.004192759959697539
64,spectral_S_skew,0.004133347466901187
65,AH_sF4_mean_dist,0.004114376581020228
66,AY_sF2_max_first,0.004036764202397214
67,IY_sF3_mean_dist,0.003994150362141178
68,AE_sF2_min,0.00398811535096673
69,IY_sF3_max,0.003960590791459526
70,M_avg_dur,0.003943269858968598
71,spectral_S_intensity,0.003932822489560089
72,R_avg_dur,0.003929446777146722
73,IH_sF1_mean_dist,0.0039033965864368973
74,AY_sF4_max_first,0.003859180846750969
75,AY_sF2_max_third,0.003858510982812485
76,IY_sF4_max,0.0038276145208900616
77,AY_sF4_mean_third,0.003771665055822527
78,AH_sF1_min,0.0037357514008219167
79,UW_sF2_mean_dist,0.0037189123650750375
80,AY_sF4_min_first,0.0036761497568111143
81,EH_sF2_max,0.0036292550761619757
82,IH_sF2_mean_dist,0.003626633173956001
83,AH_sF2_max,0.00356601675293046
84,AA_sF3_min,0.003520989219441269
85,EH_sF2_mean,0.003481004650564905
86,AY_sF2_mean_first,0.003434024633477064
87,N_avg_dur,0.0034041036673546497
88,AH_sF3_mean_dist,0.003389069686031328
89,AH_sF1_mean_dist,0.003344437727320216
90,AY_sF2_min_third,0.003343843742414666
91,AY_sF4_mean_first,0.0033218333570870914
92,spectral_Z_skew,0.0033173994484972024
93,spectral_V_kurt,0.0032968867947647386
94,EH_sF2_min,0.003261550926442647
95,AE_sF3_max,0.0032298753407096043
96,AY_sF3_max_first,0.003197761787285535
97,AY_sF2_min_first,0.003029403234081961
98,AY_sF4_min_third,0.003022641978752987
99,AE_sF1_max,0.0030216780159533435
100,spectral_V_intensity,0.002902507207418873
101,spectral_V_skew,0.0028682181817782843
102,AY_sF2_mean_third,0.0028175075703063186
103,AE_sF2_mean_dist,0.002814829876340052
104,AE_sF3_mean,0.002796607718228205
105,AA_sF1_min,0.002785584541490873
106,spectral_Z_kurt,0.0027776213254528622
107,spectral_S_duration,0.002733590049957172
108,IY_sF1_mean_dist,0.0027011495499219156
109,IY_sF1_max,0.002692384011389614
110,EH_sF1_min,0.0026921863585042
