,q1,q2,q3
0,7,5,2
1,6,9,2
2,1,6,5
3,7,4,8
4,8,6,8
5,5,6,7
6,8,9,6
7,5,6,8
8,7,6,3
9,2,5,5
10,3,1,1
11,1,5,9
12,2,5,1
13,6,6,4
14,4,7,8
15,8,4,1
16,5,1,9
17,7,8,8
18,1,9,6
19,9,2,1
20,6,4,7
21,3,9,3
22,7,9,4
23,5,7,8
24,6,4,6
25,7,9,2
26,1,6,9
27,5,1,6
28,6,9,6
29,8,6,4
30,8,3,9
31,5,7,4
32,4,5,6
33,8,7,6
34,5,6,4
35,3,1,9
36,3,2,5
37,4,6,8
38,6,7,9
39,9,3,3
40,1,1,3
41,6,6,1
42,1,8,4
43,8,8,2
44,9,3,9
45,7,3,5
46,6,7,5
47,4,8,5
48,8,7,3
49,7,7,8
50,6,8,2
51,3,6,5
52,4,7,7
53,1,6,3
54,6,7,3
55,1,2,4
56,5,1,6
57,2,1,4
58,7,3,4
59,1,8,5
60,6,9,8
61,9,1,9
62,5,5,5
63,9,6,6
64,7,6,3
65,4,1,8
66,6,9,5
67,3,4,3
68,4,2,4
69,7,2,8
70,7,6,1
71,5,9,9
72,2,1,2
73,5,5,2
74,3,2,5
75,1,1,9
76,9,6,9
77,3,2,6
78,4,1,2
79,9,3,2
80,8,5,6
81,5,7,9
82,7,7,7
83,8,7,6
84,1,9,9
85,6,4,8
86,3,6,1
87,9,3,1
88,1,1,6
89,4,1,1
90,9,9,7
91,6,3,1
92,3,4,9
93,1,5,7
94,8,1,7
95,6,7,4
96,9,6,5
97,6,6,5
98,6,1,9
99,4,3,1
