,WAV,vowel_distance_pair,vowel_distance_value
0,atliberty_nottalking,IH_to_AA,1041.0489404981465
97,atliberty_nottalking,IH_to_AX,328.11322913630033
89,atliberty_nottalking,IH_to_AW,981.1273731816192
172,atliberty_nottalking,IH_to_IY,473.4509028331904
98,benshapiro_datavpn_edited2,IH_to_AX,470.60065927605393
140,benshapiro_datavpn_edited2,IH_to_EH,682.8989222332073
160,benshapiro_datavpn_edited2,IH_to_EY,1056.4023962859596
173,benshapiro_datavpn_edited2,IH_to_IY,1188.9693557144692
107,benshapiro_datavpn_edited2,IH_to_AY,821.4980023459373
99,brunch_badconfusing,IH_to_AX,212.841730612674
221,brunch_badconfusing,IH_to_UW,351.74241886398477
13,brunch_badconfusing,IH_to_AE,268.4356507176067
141,brunch_badconfusing,IH_to_EH,647.3936808549008
90,brunch_nervous,IH_to_AW,648.0002479857615
222,brunch_nervous,IH_to_UW,874.6890934893344
100,brunch_nervous,IH_to_AX,663.7181157448983
39,brunch_nervous,IH_to_AH,214.5971422249108
108,brunch_nervous,IH_to_AY,126.97923573654549
40,candace_catchesher,IH_to_AH,536.5581529519801
101,candace_catchesher,IH_to_AX,574.8340766097906
14,candace_catchesher,IH_to_AE,555.1716062727423
174,candace_catchesher,IH_to_IY,740.6428754203444
91,candace_hugebusiness,IH_to_AW,691.9263429649567
102,candace_hugebusiness,IH_to_AX,138.9064233175435
223,candace_hugebusiness,IH_to_UW,527.5961385625313
109,candace_reallyinteresting,IH_to_AY,288.0483088337662
103,candace_reallyinteresting,IH_to_AX,436.6150884288198
175,candace_reallyinteresting,IH_to_IY,126.06605765859234
41,candace_thekids,IH_to_AH,295.8516744956459
79,candace_thekids,IH_to_AO,1419.1914856123085
176,candace_thekids,IH_to_IY,876.659842215127
224,cj_excited,IH_to_UW,1455.4099051997205
110,cj_excited,IH_to_AY,468.2680767751351
92,cj_excited,IH_to_AW,657.5750362570828
42,cj_excited,IH_to_AH,714.5503313415475
142,cj_excited,IH_to_EH,178.98114998124908
15,cj_excited,IH_to_AE,543.1598810477188
80,codeswitch_lesslikely,IH_to_AO,1058.8839644975774
43,codeswitch_lesslikely,IH_to_AH,382.6940215281959
143,codeswitch_lesslikely,IH_to_EH,194.9866560115626
177,codeswitch_lesslikely,IH_to_IY,610.9079025108421
111,codeswitch_lesslikely,IH_to_AY,312.52609673814175
104,codeswitch_lesslikely,IH_to_AX,156.94706685588324
93,codeswitch_lesslikely,IH_to_AW,459.4002313859585
178,codeswitch_needhelp,IH_to_IY,526.6400151945913
16,codeswitch_needhelp,IH_to_AE,205.25511940638967
225,codeswitch_needhelp,IH_to_UW,601.7002596201905
144,codeswitch_needhelp,IH_to_EH,986.4395761916568
179,coffeeconvos_best,IH_to_IY,272.9696038906422
44,coffeeconvos_best,IH_to_AH,849.0960435354609
17,coffeeconvos_best,IH_to_AE,854.6121632496482
112,coffeeconvos_best,IH_to_AY,308.5235152299962
145,coffeeconvos_best,IH_to_EH,633.2538968494239
113,coffeeconvos_prettygood,IH_to_AY,385.9476450801495
45,coffeeconvos_prettygood,IH_to_AH,851.5558585945752
180,coffeeconvos_prettygood,IH_to_IY,1175.8433067290102
81,coffeeconvos_prettygood,IH_to_AO,654.3164095051598
216,coffeeconvos_prettygood,IH_to_UH,543.241761843678
114,dykingout_afterwards,IH_to_AY,664.4337831117945
1,dykingout_afterwards,IH_to_AA,882.2555862252229
18,dykingout_afterwards,IH_to_AE,489.978277671864
82,dykingout_alwaysbeenthere,IH_to_AO,1589.4707304484834
105,dykingout_alwaysbeenthere,IH_to_AX,691.5770597623471
115,dykingout_alwaysbeenthere,IH_to_AY,1279.9095302709009
