WAV,AA_sF1,AE_sF1,AH_sF1,AO_sF1,AR_sF1,AW_sF1,AX_sF1,AY_sF1,B_sF1,CH_sF1,D_sF1,DH_sF1,EH_sF1,EL_sF1,ER_sF1,EY_sF1,F_sF1,G_sF1,H_sF1,HH_sF1,IH_sF1,IY_sF1,JH_sF1,K_sF1,L_sF1,M_sF1,N_sF1,NG_sF1,OW_sF1,OY_sF1,P_sF1,R_sF1,S_sF1,SH_sF1,T_sF1,TH_sF1,UH_sF1,UW_sF1,V_sF1,W_sF1,Y_sF1,Z_sF1,ZH_sF1,AA_sF2,AE_sF2,AH_sF2,AO_sF2,AR_sF2,AW_sF2,AX_sF2,AY_sF2,B_sF2,CH_sF2,D_sF2,DH_sF2,EH_sF2,EL_sF2,ER_sF2,EY_sF2,F_sF2,G_sF2,H_sF2,HH_sF2,IH_sF2,IY_sF2,JH_sF2,K_sF2,L_sF2,M_sF2,N_sF2,NG_sF2,OW_sF2,OY_sF2,P_sF2,R_sF2,S_sF2,SH_sF2,T_sF2,TH_sF2,UH_sF2,UW_sF2,V_sF2,W_sF2,Y_sF2,Z_sF2,ZH_sF2,AA_sF3,AE_sF3,AH_sF3,AO_sF3,AR_sF3,AW_sF3,AX_sF3,AY_sF3,B_sF3,CH_sF3,D_sF3,DH_sF3,EH_sF3,EL_sF3,ER_sF3,EY_sF3,F_sF3,G_sF3,H_sF3,HH_sF3,IH_sF3,IY_sF3,JH_sF3,K_sF3,L_sF3,M_sF3,N_sF3,NG_sF3,OW_sF3,OY_sF3,P_sF3,R_sF3,S_sF3,SH_sF3,T_sF3,TH_sF3,UH_sF3,UW_sF3,V_sF3,W_sF3,Y_sF3,Z_sF3,ZH_sF3,AA_sF4,AE_sF4,AH_sF4,AO_sF4,AR_sF4,AW_sF4,AX_sF4,AY_sF4,B_sF4,CH_sF4,D_sF4,DH_sF4,EH_sF4,EL_sF4,ER_sF4,EY_sF4,F_sF4,G_sF4,H_sF4,HH_sF4,IH_sF4,IY_sF4,JH_sF4,K_sF4,L_sF4,M_sF4,N_sF4,NG_sF4,OW_sF4,OY_sF4,P_sF4,R_sF4,S_sF4,SH_sF4,T_sF4,TH_sF4,UH_sF4,UW_sF4,V_sF4,W_sF4,Y_sF4,Z_sF4,ZH_sF4,AA_sB1,AE_sB1,AH_sB1,AO_sB1,AR_sB1,AW_sB1,AX_sB1,AY_sB1,B_sB1,CH_sB1,D_sB1,DH_sB1,EH_sB1,EL_sB1,ER_sB1,EY_sB1,F_sB1,G_sB1,H_sB1,HH_sB1,IH_sB1,IY_sB1,JH_sB1,K_sB1,L_sB1,M_sB1,N_sB1,NG_sB1,OW_sB1,OY_sB1,P_sB1,R_sB1,S_sB1,SH_sB1,T_sB1,TH_sB1,UH_sB1,UW_sB1,V_sB1,W_sB1,Y_sB1,Z_sB1,ZH_sB1,AA_sB2,AE_sB2,AH_sB2,AO_sB2,AR_sB2,AW_sB2,AX_sB2,AY_sB2,B_sB2,CH_sB2,D_sB2,DH_sB2,EH_sB2,EL_sB2,ER_sB2,EY_sB2,F_sB2,G_sB2,H_sB2,HH_sB2,IH_sB2,IY_sB2,JH_sB2,K_sB2,L_sB2,M_sB2,N_sB2,NG_sB2,OW_sB2,OY_sB2,P_sB2,R_sB2,S_sB2,SH_sB2,T_sB2,TH_sB2,UH_sB2,UW_sB2,V_sB2,W_sB2,Y_sB2,Z_sB2,ZH_sB2,AA_sB3,AE_sB3,AH_sB3,AO_sB3,AR_sB3,AW_sB3,AX_sB3,AY_sB3,B_sB3,CH_sB3,D_sB3,DH_sB3,EH_sB3,EL_sB3,ER_sB3,EY_sB3,F_sB3,G_sB3,H_sB3,HH_sB3,IH_sB3,IY_sB3,JH_sB3,K_sB3,L_sB3,M_sB3,N_sB3,NG_sB3,OW_sB3,OY_sB3,P_sB3,R_sB3,S_sB3,SH_sB3,T_sB3,TH_sB3,UH_sB3,UW_sB3,V_sB3,W_sB3,Y_sB3,Z_sB3,ZH_sB3,AA_sB4,AE_sB4,AH_sB4,AO_sB4,AR_sB4,AW_sB4,AX_sB4,AY_sB4,B_sB4,CH_sB4,D_sB4,DH_sB4,EH_sB4,EL_sB4,ER_sB4,EY_sB4,F_sB4,G_sB4,H_sB4,HH_sB4,IH_sB4,IY_sB4,JH_sB4,K_sB4,L_sB4,M_sB4,N_sB4,NG_sB4,OW_sB4,OY_sB4,P_sB4,R_sB4,S_sB4,SH_sB4,T_sB4,TH_sB4,UH_sB4,UW_sB4,V_sB4,W_sB4,Y_sB4,Z_sB4,ZH_sB4
atliberty_nottalking,3.421371073946739,,,,,5.975374978148127,16.085682926829268,,6.329738431372546,,,,,,8.18874691358025,,,,,,3.5565608191712323,4.896419517102615,,11.350177031759452,,,3.4743393388429755,10.419669906764529,,,,,,,4.50809069137859,,,,,3.5822216847372816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benshapiro_datavpn_edited2,,,,,,,2.3967964126827197,3.796909205020923,,,2.8624563711911355,,3.0958799545620495,,,3.8993021903731737,,,,,7.30948185941043,1.5002051704973285,,5.054001543209877,,5.513404879984129,4.744502821822092,,,,1.8155797956754611,6.678547845142438,,,1.9211427001953139,3.954649018441405,,,2.9049164684898923,7.287069601427719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestfriends_somenoise,,,3.3052150308641957,,,,11.765904266389176,6.578963550295858,,,29.63946485260771,,,,,5.254386297577855,,,,,,9.170752595155712,,2.386688654693498,7.774637062668204,1.4910086952521173,2.6689852419074134,,6.590704225352111,1.1272448538095599,14.279526315789475,,1.5246966576332428,,34.815999999999995,,,,9.226698231009363,,,1.3081964216875674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunch_badconfusing,,1.5453332219866518,,,,,8.133904499540861,,10.419272777777772,,7.868498512396697,,13.319750148721003,,,,2.096006990382361,,,,2.813153912009512,,,5.433484697965069,3.154921770518965,,2.71642658912356,3.202334182923241,,,,,,,7.642879251700681,,,3.1600106814494304,,,5.031820415879017,5.484357090643276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunch_nervous,,,18.082629629629633,,,5.4947738511152915,6.334297851562501,27.15840432098765,,,,,,5.7521475897639345,3.3606859320934266,,,,,,11.867628926223519,,,,4.1218402777777765,5.718839876033058,2.301474145360529,,,,,,5.286643863179073,,5.04505264189785,,,2.862205410225921,5.353468494126023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candace_catchesher,,4.939522866789441,12.300259131103426,,,,10.376991469946438,,15.037520000000004,8.942184756515775,5.182276147959184,,,,2.9235036676528776,,,,,18.580499999999997,8.442504807692305,5.979011824778284,,4.6486947914383805,,7.651020661157025,11.699290816326528,,,,,,6.256975069252078,,,,,,,,,6.200559339678761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candace_hugebusiness,,,,,,8.071294143823426,9.528361730717549,,6.221250266998927,,,,,,,,,,,3.568639676794884,4.317807943489269,,5.379366388888889,,,,6.46415444994566,,,,,,3.4986633836052117,,12.508309688581317,,,4.443120642824808,,,,4.79117888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candace_reallyinteresting,,,,,,,10.622767073170733,4.573938952091014,,,,,,,,,,,,,2.214362635334644,4.941181315192743,,106.01676000000002,8.978040441176475,5.753681214044833,5.863019742883379,4.545154149519891,,,,7.504268595041322,4.735932592975205,,3.599682668745823,11.017925386444706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candace_thekids,,,10.172105186267348,9.33494394500265,,,,,,,4.102677333655356,6.601073086419753,,,,,,,,6.71914186851211,2.6450089888507398,1.9786424896828536,,7.78880222178139,14.416809042236768,,5.68487745389649,,,,,,,,,,,,,,,1.8140307398821598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj_excited,,3.5759738120556306,3.7508513687760354,,,4.130322026605472,,3.738071488950609,7.123719967750603,,4.939444951398534,7.75951846590909,5.289375354442347,,4.044098099173554,,,,,,4.638219297186331,,,6.189247245364151,,3.4972457432677215,,,,,4.312181020408165,,1.0260292015174886,,12.172278823529412,,,3.2093798019801976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
