Filename,Label,seg_Start,seg_End,H1c_mean,H1c_means001,H1c_means002,H1c_means003,H2c_mean,H2c_means001,H2c_means002,H2c_means003,H4c_mean,H4c_means001,H4c_means002,H4c_means003,A1c_mean,A1c_means001,A1c_means002,A1c_means003,A2c_mean,A2c_means001,A2c_means002,A2c_means003,A3c_mean,A3c_means001,A3c_means002,A3c_means003,H2Kc_mean,H2Kc_means001,H2Kc_means002,H2Kc_means003,H1H2c_mean,H1H2c_means001,H1H2c_means002,H1H2c_means003,H2H4c_mean,H2H4c_means001,H2H4c_means002,H2H4c_means003,H1A1c_mean,H1A1c_means001,H1A1c_means002,H1A1c_means003,H1A2c_mean,H1A2c_means001,H1A2c_means002,H1A2c_means003,H1A3c_mean,H1A3c_means001,H1A3c_means002,H1A3c_means003,H42Kc_mean,H42Kc_means001,H42Kc_means002,H42Kc_means003,H2KH5Kc_mean,H2KH5Kc_means001,H2KH5Kc_means002,H2KH5Kc_means003,CPP_mean,CPP_means001,CPP_means002,CPP_means003,Energy_mean,Energy_means001,Energy_means002,Energy_means003,HNR05_mean,HNR05_means001,HNR05_means002,HNR05_means003,HNR15_mean,HNR15_means001,HNR15_means002,HNR15_means003,HNR25_mean,HNR25_means001,HNR25_means002,HNR25_means003,HNR35_mean,HNR35_means001,HNR35_means002,HNR35_means003,SHR_mean,SHR_means001,SHR_means002,SHR_means003,H1u_mean,H1u_means001,H1u_means002,H1u_means003,H2u_mean,H2u_means001,H2u_means002,H2u_means003,H4u_mean,H4u_means001,H4u_means002,H4u_means003,A1u_mean,A1u_means001,A1u_means002,A1u_means003,A2u_mean,A2u_means001,A2u_means002,A2u_means003,A3u_mean,A3u_means001,A3u_means002,A3u_means003,H2Ku_mean,H2Ku_means001,H2Ku_means002,H2Ku_means003,H5Ku_mean,H5Ku_means001,H5Ku_means002,H5Ku_means003,H1H2u_mean,H1H2u_means001,H1H2u_means002,H1H2u_means003,H2H4u_mean,H2H4u_means001,H2H4u_means002,H2H4u_means003,H1A1u_mean,H1A1u_means001,H1A1u_means002,H1A1u_means003,H1A2u_mean,H1A2u_means001,H1A2u_means002,H1A2u_means003,H1A3u_mean,H1A3u_means001,H1A3u_means002,H1A3u_means003,H42Ku_mean,H42Ku_means001,H42Ku_means002,H42Ku_means003,H2KH5Ku_mean,H2KH5Ku_means001,H2KH5Ku_means002,H2KH5Ku_means003,strF0_mean,strF0_means001,strF0_means002,strF0_means003,sF0_mean,sF0_means001,sF0_means002,sF0_means003,pF0_mean,pF0_means001,pF0_means002,pF0_means003,shrF0_mean,shrF0_means001,shrF0_means002,shrF0_means003,oF0_mean,oF0_means001,oF0_means002,oF0_means003,sF1_mean,sF1_means001,sF1_means002,sF1_means003,sF2_mean,sF2_means001,sF2_means002,sF2_means003,sF3_mean,sF3_means001,sF3_means002,sF3_means003,sF4_mean,sF4_means001,sF4_means002,sF4_means003,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF4_mean,pF4_means001,pF4_means002,pF4_means003,oF1_mean,oF1_means001,oF1_means002,oF1_means003,oF2_mean,oF2_means001,oF2_means002,oF2_means003,oF3_mean,oF3_means001,oF3_means002,oF3_means003,oF4_mean,oF4_means001,oF4_means002,oF4_means003,sB1_mean,sB1_means001,sB1_means002,sB1_means003,sB2_mean,sB2_means001,sB2_means002,sB2_means003,sB3_mean,sB3_means001,sB3_means002,sB3_means003,sB4_mean,sB4_means001,sB4_means002,sB4_means003,pB1_mean,pB1_means001,pB1_means002,pB1_means003,pB2_mean,pB2_means001,pB2_means002,pB2_means003,pB3_mean,pB3_means001,pB3_means002,pB3_means003,pB4_mean,pB4_means001,pB4_means002,pB4_means003,oB1_mean,oB1_means001,oB1_means002,oB1_means003,oB2_mean,oB2_means001,oB2_means002,oB2_means003,oB3_mean,oB3_means001,oB3_means002,oB3_means003,oB4_mean,oB4_means001,oB4_means002,oB4_means003,epoch_mean,epoch_means001,epoch_means002,epoch_means003,soe_mean,soe_means001,soe_means002,soe_means003,
atliberty_nottalking.mat,W,5.256,40.000,14.732,14.732,14.732,14.732,7.613,7.613,7.613,7.613,13.822,13.822,13.822,13.822,5.024,5.024,5.024,5.024,-13.615,-13.615,-13.615,-13.615,-7.929,-7.929,-7.929,-7.929,-4.410,-4.410,-4.410,-4.410,7.119,7.119,7.119,7.119,-6.209,-6.209,-6.209,-6.209,9.708,9.708,9.708,9.708,28.347,28.347,28.347,28.347,22.662,22.662,22.662,22.662,18.232,18.232,18.232,18.232,21.920,21.920,21.920,21.920,16.810,16.810,16.810,16.810,2.689,1.040,2.037,3.688,14.708,14.708,14.708,14.708,25.760,25.760,25.760,25.760,33.520,33.520,33.520,33.520,37.089,37.089,37.089,37.089,0.725,0.791,0.835,0.611,16.716,16.716,13.325,16.716,19.993,19.993,15.943,19.993,3.122,3.122,-0.563,3.122,21.207,21.207,21.207,21.207,-14.148,-14.148,-14.148,-14.148,-18.565,-18.565,-18.565,-18.565,-18.363,-18.363,-20.260,-18.363,-26.961,-26.961,-28.912,-26.961,-3.277,-3.277,-2.618,-3.277,16.871,16.871,16.506,16.871,-3.556,-3.556,-3.556,-3.556,31.799,31.799,31.799,31.799,36.216,36.216,36.216,36.216,21.485,21.485,19.697,21.485,NaN,NaN,NaN,NaN,178.863,183.505,179.199,174.076,175.629,180.071,177.055,172.806,NaN,NaN,NaN,NaN,181.150,199.819,184.078,173.747,NaN,NaN,NaN,NaN,332.547,339.896,335.585,327.422,1937.308,2170.172,2194.240,1652.280,2945.388,3079.401,3061.511,2803.317,4279.740,4166.775,4242.126,4353.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.179,84.744,68.995,61.588,778.352,510.603,788.710,887.041,411.341,389.281,470.595,381.956,282.857,432.762,326.199,191.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167,0.154,0.167,0.154,0.047,0.002,0.062,0.078,
atliberty_nottalking.mat,IY,40.000,110.000,16.692,15.950,16.845,17.283,8.079,9.214,8.133,6.875,16.089,16.991,16.636,14.657,7.394,8.028,7.609,6.548,-2.649,-6.582,2.383,-3.710,5.461,2.931,7.416,6.052,-1.292,0.488,-3.025,-1.415,8.613,6.736,8.712,10.408,-8.010,-7.777,-8.503,-7.782,9.298,7.922,9.236,10.735,19.341,22.532,14.462,20.993,11.231,13.019,9.430,11.231,17.381,16.503,19.661,16.072,20.549,22.758,18.840,19.902,20.797,19.903,21.153,21.267,4.295,4.436,4.156,4.295,28.208,26.461,32.024,26.183,39.185,35.434,42.992,39.168,38.430,37.400,40.042,37.796,38.354,38.647,38.174,38.171,0.561,0.539,0.589,0.556,19.367,18.695,19.486,19.918,24.040,24.322,24.084,23.722,7.442,8.214,7.716,6.417,24.039,24.320,24.083,23.721,-2.060,-5.432,1.117,-1.838,-1.454,-6.967,3.610,-0.943,-8.728,-11.415,-5.331,-9.323,-21.841,-22.270,-21.865,-21.317,-4.673,-5.627,-4.598,-3.803,16.598,16.109,16.367,17.305,-4.672,-5.625,-4.597,-3.803,21.427,24.127,18.369,21.756,20.821,25.662,15.875,20.861,16.170,19.629,13.047,15.740,13.425,9.555,14.869,14.712,175.050,170.546,174.526,180.057,176.238,171.413,176.208,181.111,NaN,NaN,NaN,NaN,175.893,171.463,175.022,181.258,NaN,NaN,NaN,NaN,342.749,334.486,340.431,353.358,1852.840,1916.893,2049.351,1595.218,2705.260,2736.561,2703.263,2676.297,4340.761,4371.752,4344.816,4305.720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.870,57.648,66.750,52.483,190.116,174.872,130.369,263.411,83.308,72.502,106.972,69.087,135.026,146.431,121.206,137.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.169,0.167,0.160,0.167,0.079,0.079,0.082,0.077,
atliberty_nottalking.mat,W,110.000,190.000,14.969,14.705,14.286,15.857,6.783,6.667,3.711,9.723,9.857,12.550,9.059,7.904,1.134,6.090,1.589,-4.240,-6.303,-6.837,-6.458,-5.588,3.860,7.079,3.196,1.278,9.962,10.406,11.877,7.803,8.186,8.039,10.576,6.134,-3.074,-5.883,-5.349,1.819,13.835,8.616,12.698,20.097,21.272,21.542,20.745,21.445,11.109,7.626,11.090,14.579,-0.105,2.143,-2.818,0.101,33.088,32.236,36.017,31.313,20.057,20.808,18.960,20.274,3.213,3.211,2.532,3.834,32.877,27.974,32.975,37.754,35.388,33.914,35.554,36.723,39.006,37.826,40.881,38.451,40.948,39.729,42.697,40.542,0.290,0.537,0.341,0.000,17.309,17.469,16.769,17.646,21.453,23.686,20.691,19.925,7.611,6.349,6.036,10.329,20.839,23.685,20.614,18.193,4.366,0.208,3.837,9.054,-10.703,-9.067,-14.852,-8.555,-14.099,-14.454,-16.341,-11.716,-23.126,-21.830,-24.140,-23.510,-4.145,-6.217,-3.923,-2.279,13.842,17.337,14.655,9.596,-3.530,-6.216,-3.846,-0.548,12.943,17.260,12.932,8.591,28.012,26.535,31.621,26.200,21.711,20.803,22.378,22.045,8.527,8.331,7.576,9.573,180.625,178.082,178.308,185.245,181.779,178.635,179.474,187.024,NaN,NaN,NaN,NaN,181.101,179.561,178.306,185.146,NaN,NaN,NaN,NaN,415.303,353.300,390.211,500.721,1075.418,1115.142,1027.732,1078.537,2465.164,2637.177,2558.242,2204.679,3829.250,4113.110,3700.689,3659.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.218,60.605,136.708,152.996,193.115,235.699,194.356,147.463,170.530,154.213,226.298,136.229,211.840,225.141,261.529,153.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.185,0.179,0.185,0.214,0.046,0.058,0.050,0.034,
atliberty_nottalking.mat,ER,190.000,261.147,12.655,13.145,11.533,13.179,9.710,11.206,10.267,7.698,7.052,9.993,8.823,2.504,-4.355,-1.204,-1.278,-10.321,0.076,-0.812,-1.290,2.248,-2.394,1.152,-2.687,-5.620,-0.372,3.469,-4.020,-0.786,2.945,1.939,1.266,5.481,2.657,1.213,1.444,5.194,17.010,14.350,12.811,23.500,12.579,13.957,12.823,10.931,15.049,11.994,14.220,18.799,7.424,6.524,12.843,3.290,20.625,23.798,16.243,21.540,24.284,23.544,24.507,24.846,3.683,4.811,3.960,2.315,43.258,43.519,45.398,40.950,39.877,39.739,40.948,38.970,40.111,41.430,41.700,37.310,43.015,44.003,44.944,40.259,0.069,0.000,0.000,0.199,13.825,14.586,12.716,14.067,15.418,18.482,16.042,11.780,14.264,14.324,14.138,14.351,19.543,22.336,22.273,14.257,15.160,15.075,12.857,17.408,8.854,1.447,9.356,15.809,0.937,-1.409,1.345,2.990,-20.996,-20.329,-20.263,-22.326,-1.593,-3.896,-3.326,2.287,1.155,4.158,1.904,-2.570,-5.718,-7.751,-9.557,-0.189,-1.334,-0.489,-0.141,-3.340,4.971,13.139,3.360,-1.741,13.327,15.733,12.793,11.361,20.521,16.628,20.570,24.377,188.215,191.235,189.619,183.794,189.501,190.747,189.879,187.915,NaN,NaN,NaN,NaN,189.720,190.826,190.611,187.781,NaN,NaN,NaN,NaN,589.590,537.092,611.051,623.795,1496.371,1271.290,1557.529,1667.547,1936.091,2008.222,1940.662,1859.363,3738.682,3597.743,3572.416,4036.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,149.522,105.301,129.316,212.082,188.206,293.620,160.598,111.188,179.268,146.668,137.343,248.734,540.628,131.958,523.851,985.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.194,0.200,0.208,0.200,0.022,0.016,0.023,0.026,
atliberty_nottalking.mat,N,261.147,370.000,15.184,14.224,16.531,14.811,3.114,-0.452,4.237,5.511,9.963,6.571,12.955,10.427,-7.146,-9.935,-4.981,-6.254,-2.602,-2.222,-6.160,0.567,-4.041,-8.568,-3.847,0.330,-3.404,-4.515,-5.642,0.009,12.071,14.676,12.294,9.301,-6.849,-7.024,-8.718,-4.916,22.330,24.159,21.512,21.065,17.786,16.446,22.691,14.244,19.225,22.792,20.378,14.481,13.367,11.086,18.597,10.417,21.836,21.529,18.547,25.528,18.434,17.752,18.693,18.818,1.544,1.057,1.729,1.837,28.811,27.711,30.715,27.959,32.439,30.615,34.120,32.591,31.879,30.580,34.114,30.968,34.342,33.781,36.564,32.720,0.108,0.000,0.000,0.321,17.218,16.196,18.781,16.710,14.255,10.728,15.963,16.139,5.703,3.882,6.766,6.396,11.699,9.938,13.008,12.348,1.632,4.001,-3.646,4.458,-7.897,-4.375,-11.504,-7.955,-11.231,-10.054,-12.694,-11.078,-25.239,-26.044,-24.189,-25.519,2.964,5.468,2.818,0.571,8.552,6.846,9.197,9.743,5.519,6.259,5.773,4.362,15.586,12.195,22.427,12.252,25.115,20.572,30.285,24.665,16.934,13.937,19.460,17.474,14.562,19.578,11.157,12.930,167.318,177.888,166.897,157.151,167.198,178.793,165.923,156.833,NaN,NaN,NaN,NaN,168.576,179.349,167.475,158.883,NaN,NaN,NaN,NaN,382.177,383.389,353.090,410.779,1770.952,1733.416,1847.965,1728.328,2739.481,2645.501,2780.756,2792.264,4046.596,4012.790,4171.511,3959.210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.699,277.843,250.015,276.440,183.765,145.597,325.191,83.350,342.698,562.166,295.634,170.004,477.035,745.473,261.274,419.560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.164,0.162,0.184,0.162,0.058,0.048,0.074,0.053,
atliberty_nottalking.mat,AA,370.000,540.000,7.093,7.875,8.113,5.341,7.678,8.412,8.974,5.695,-2.444,-1.465,-1.028,-4.815,-13.626,-12.464,-12.894,-15.485,-6.070,2.323,-10.807,-9.893,2.551,6.794,0.113,0.680,-0.827,3.973,-4.987,-1.577,-0.585,-0.537,-0.861,-0.353,10.122,9.877,10.002,10.510,20.719,20.339,21.008,20.826,13.164,5.551,18.920,15.235,4.542,1.080,8.000,4.661,-1.618,-5.438,3.959,-3.239,18.560,23.008,14.718,17.814,21.776,21.304,23.769,20.352,2.892,4.035,2.505,2.124,41.590,35.741,50.585,38.796,31.392,29.007,38.025,27.405,28.742,25.622,35.169,25.701,26.299,23.322,31.506,24.294,0.551,0.486,0.628,0.543,7.485,8.412,8.424,5.665,9.404,10.945,10.259,7.035,4.171,5.964,5.007,1.551,16.139,14.922,18.064,15.512,17.543,21.510,15.043,16.003,4.684,8.960,2.703,2.325,-2.407,2.476,-6.598,-3.222,-19.387,-19.035,-19.705,-19.390,-1.919,-2.534,-1.835,-1.370,5.233,4.981,5.252,5.485,-8.654,-6.510,-9.639,-9.847,-10.058,-13.098,-6.619,-10.338,2.800,-0.549,5.721,3.340,6.578,3.489,11.605,4.773,17.027,22.117,13.541,15.219,150.445,151.052,149.790,150.457,122.488,149.292,150.054,69.534,NaN,NaN,NaN,NaN,164.795,150.995,149.648,192.959,NaN,NaN,NaN,NaN,922.918,853.995,934.609,980.083,1558.625,1616.158,1519.105,1537.594,2925.153,2822.065,2975.892,2978.819,3498.871,3515.249,3437.991,3540.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322.689,333.913,282.679,350.430,133.527,61.142,209.436,131.817,334.160,210.482,482.976,314.445,157.733,177.733,150.274,144.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.152,0.155,0.140,0.155,0.022,0.023,0.026,0.017,
atliberty_nottalking.mat,T,540.000,680.000,-16.280,-11.256,-20.165,-17.468,-17.754,-9.758,-20.353,-23.283,-20.531,-19.103,-21.933,-20.711,-35.502,-36.031,-41.168,-29.607,-28.788,-32.677,-34.984,-19.114,-18.389,-22.040,-17.916,-15.330,-20.613,-25.870,-15.686,-20.212,1.474,-1.499,0.188,5.816,2.777,9.345,1.580,-2.572,19.222,24.775,21.003,12.139,12.508,21.421,14.820,1.646,2.109,10.783,-2.248,-2.137,0.082,6.767,-6.247,-0.500,2.500,10.760,5.995,-9.164,15.328,15.718,15.323,14.927,0.115,0.127,0.058,0.157,30.138,28.276,29.086,32.994,23.270,21.035,25.386,23.517,25.012,24.931,27.847,22.459,26.890,27.073,30.141,23.687,0.311,0.433,0.197,0.287,-16.041,-11.029,-19.913,-17.229,-16.767,-8.829,-19.306,-22.296,-15.907,-15.018,-16.821,-16.032,-3.157,-0.232,-9.693,0.103,-2.005,-0.238,-9.045,2.793,-14.007,-14.885,-20.222,-7.284,-18.436,-21.277,-22.501,-11.778,-23.113,-36.630,-21.681,-11.047,0.726,-2.200,-0.606,5.067,-0.859,6.189,-2.486,-6.264,-12.884,-10.797,-10.219,-17.332,-14.036,-10.791,-10.868,-20.021,-2.033,3.856,0.310,-9.944,2.528,6.259,5.681,-4.254,5.488,16.421,3.054,-3.191,132.551,145.564,107.721,142.932,0.000,0.000,0.000,0.000,NaN,NaN,NaN,NaN,186.827,168.182,173.952,221.943,NaN,NaN,NaN,NaN,967.877,1168.669,781.875,953.089,1602.399,1557.221,1461.117,1789.787,2934.906,2944.627,3078.290,2784.402,3741.261,3468.568,4010.589,3750.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248.575,276.134,333.366,140.337,225.297,191.858,388.024,100.292,340.028,299.145,528.823,198.439,317.736,194.871,411.746,346.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.121,0.146,0.106,0.104,0.001,0.001,0.001,0.001,
atliberty_nottalking.mat,AA,680.000,770.000,3.603,0.186,4.156,6.617,2.020,-3.792,6.723,3.381,-0.055,-4.143,1.279,2.851,-11.241,-18.363,-5.832,-9.267,-12.132,-17.201,-8.676,-10.323,-5.241,-10.564,-1.190,-3.776,-5.189,-9.758,-0.720,-4.877,1.584,3.978,-2.567,3.236,2.075,0.351,5.444,0.530,14.845,18.550,9.987,15.884,15.735,17.388,12.832,16.940,8.845,10.750,5.345,10.393,5.134,5.615,1.999,7.727,12.930,7.637,16.186,15.119,16.561,16.021,19.288,14.473,3.566,3.443,4.922,2.409,25.710,22.276,27.599,27.230,15.426,14.600,15.869,15.765,17.710,16.813,17.555,18.740,19.444,19.735,18.415,20.149,0.386,0.341,0.217,0.574,4.057,0.583,4.561,7.172,3.934,-2.131,8.424,5.751,10.617,4.325,10.090,17.510,17.684,11.054,22.987,19.270,10.754,5.983,14.026,12.440,-0.337,-3.834,3.437,-0.441,-6.533,-7.828,-3.375,-8.247,-18.119,-17.395,-16.906,-19.996,0.123,2.714,-3.862,1.421,-6.684,-6.455,-1.667,-11.758,-13.628,-10.470,-18.425,-12.098,-6.697,-5.399,-9.464,-5.268,4.394,4.417,1.124,7.613,17.150,12.153,13.466,25.757,10.984,7.378,13.011,12.656,169.844,158.448,160.834,189.763,80.020,122.602,29.539,87.663,NaN,NaN,NaN,NaN,168.399,160.192,158.544,186.032,NaN,NaN,NaN,NaN,846.567,859.836,827.929,849.791,1517.087,1556.800,1496.932,1495.719,2670.396,2676.788,2646.996,2685.721,3441.288,3517.070,3356.169,3446.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130.268,145.476,108.006,135.809,191.879,234.036,243.305,99.781,174.230,246.889,135.632,139.692,391.263,683.948,190.556,288.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.165,0.129,0.161,0.194,0.018,0.027,0.014,0.017,
atliberty_nottalking.mat,K,770.000,860.000,-4.673,11.129,1.701,-26.646,-14.379,-1.315,-11.469,-30.240,-21.941,-5.458,-21.506,-38.911,-36.736,-20.175,-42.342,-47.921,-36.742,-20.212,-41.750,-48.449,-28.666,-14.265,-29.561,-42.203,-28.001,-15.327,-27.024,-41.586,9.706,12.444,13.170,3.594,7.562,4.143,10.036,8.671,32.064,31.303,44.043,21.275,32.069,31.340,43.452,21.803,23.993,25.394,31.262,15.556,6.060,9.869,5.519,2.675,5.944,7.433,9.913,0.694,13.607,12.847,13.397,14.551,0.195,0.537,0.037,0.003,26.801,20.942,22.720,36.544,23.892,14.756,22.425,34.430,29.702,19.342,30.334,39.464,32.784,22.193,34.337,41.905,0.132,0.093,0.000,0.293,-4.024,11.699,2.228,-25.802,-11.523,1.123,-9.219,-26.390,-6.817,10.367,-9.855,-21.154,-5.824,9.256,-8.401,-18.514,-10.994,3.627,-11.027,-25.660,-22.742,-9.413,-25.491,-33.529,-27.004,-15.054,-29.243,-36.867,-33.946,-22.760,-36.937,-42.280,7.499,10.575,11.447,0.588,-4.706,-9.243,0.636,-5.236,1.800,2.442,10.629,-7.289,6.971,8.071,13.255,-0.143,18.719,21.112,27.719,7.726,20.187,25.420,19.388,15.712,7.391,8.618,7.988,5.561,232.113,194.955,192.385,306.119,90.211,153.630,113.181,0.000,NaN,NaN,NaN,NaN,199.917,202.988,187.131,207.109,NaN,NaN,NaN,NaN,1032.866,988.676,958.893,1147.818,1647.246,1555.371,1314.996,2055.039,2754.766,2746.427,2730.509,2784.105,4379.863,4055.569,4526.287,4567.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,449.812,266.044,706.891,365.863,282.719,159.968,335.032,351.120,320.199,290.587,286.911,379.889,501.924,682.350,479.008,337.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.165,0.226,0.194,0.097,0.009,0.017,0.006,0.000,
atliberty_nottalking.mat,IH,860.000,910.000,-14.376,-27.146,-18.995,2.475,-22.555,-27.873,-25.810,-14.324,-33.192,-43.289,-38.951,-18.008,-40.169,-47.928,-46.341,-26.991,-30.501,-38.384,-35.141,-18.553,-35.230,-41.885,-39.811,-24.540,-37.080,-43.214,-43.149,-25.577,8.179,0.728,6.815,16.800,10.638,15.416,13.140,3.683,25.793,20.783,27.345,29.467,16.124,11.239,16.145,21.028,20.854,14.739,20.815,27.016,3.888,-0.075,4.198,7.569,-10.462,-16.001,-14.614,-1.254,13.861,14.804,13.285,13.400,0.179,0.005,0.093,0.430,29.688,38.807,30.038,20.191,31.134,35.836,31.951,25.674,33.235,35.422,35.366,29.147,33.629,35.350,35.594,30.149,0.019,0.015,0.041,0.000,-13.171,-26.344,-17.989,4.261,-16.075,-24.343,-20.904,-3.503,-20.525,-20.691,-22.748,-18.366,-13.639,-18.802,-18.989,-3.770,-15.525,-18.327,-18.913,-9.741,-14.725,-17.802,-16.863,-9.751,-23.205,-21.096,-29.202,-20.015,-26.618,-27.214,-28.535,-24.322,2.904,-2.001,2.915,7.764,4.450,-3.652,1.844,14.862,0.468,-7.542,1.000,8.031,2.354,-8.018,0.924,14.002,1.555,-8.543,-1.126,14.012,2.680,0.404,6.454,1.650,3.618,6.564,3.291,0.924,316.985,327.318,327.650,297.268,189.310,0.000,274.558,293.648,NaN,NaN,NaN,NaN,248.590,197.103,249.003,300.174,NaN,NaN,NaN,NaN,965.825,1300.133,906.954,685.029,2350.526,2364.791,2356.628,2331.601,2745.506,2743.852,2725.414,2765.650,4401.841,4554.244,4426.992,4220.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319.523,225.633,360.150,370.901,238.623,378.189,228.362,110.057,160.599,226.162,109.456,138.102,287.409,332.352,339.169,197.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.235,0.167,0.235,0.278,0.006,0.001,0.004,0.011,
