"Participant","Rating","participant_other_langs","participant_age","participant_race","participant_race_hispanic","participant_race_free_response","participant_gender_id","participant_sexual_orientation","participant_voice_id","participant_cis_trans","participant_gender_pso_free_response","participant_prox_social","participant_prox_affiliation","participant_prox_media","Condition","WAV"
1,1.1,"N/A","18 - 24","White","No, Non-Hispanic","N/A","1","1","2.1","7","","21","40","46","gender_id","codeswitch_lesslikely"
4,1.1,"I speak some Spanish, but only English fluently.","45 - 54","White","No, Non-Hispanic","n/a","7","1.1","7","7","n/a","14","9","36","gender_id","codeswitch_lesslikely"
5,1.3,"N/A","25 - 34","Two or more races","Yes, Hispanic","Biracial","7","6","7","7","N/A","10","51","50","gender_id","codeswitch_lesslikely"
6,1.1,"I'm studying Spanish in school, but am not fluent","18 - 24","White","No, Non-Hispanic","n/a","7","5.6","6.6","7","","40","76","40","gender_id","codeswitch_lesslikely"
7,1.3,"Spanish/French","18 - 24","White","No, Non-Hispanic","N/A","7","1","7","4","I am not trans or cis. Just your average plain and simple woman.","5","7","20","gender_id","codeswitch_lesslikely"
8,1.1,"None others fluently","18 - 24","Asian,Native Hawaiian or Pacific Islander","No, Non-Hispanic","Did not mark","7","7","6","7","","50","49","50","gender_id","codeswitch_lesslikely"
9,1,"Spanish","18 - 24","White","Yes, Hispanic","N/A","1","7","1.5","7","","5","5","5","gender_id","codeswitch_lesslikely"
10,1.6,"spanish, chinese","18 - 24","Two or more races","No, Non-Hispanic","chinese and white","7","5.8","5","7","","39","92","40","gender_id","codeswitch_lesslikely"
11,1.6,"Vietnamese","18 - 24","Asian","No, Non-Hispanic",NA,"6.9","6.7","6.7","7","","14","16","24","gender_id","codeswitch_lesslikely"
12,1,"cantonese","18 - 24","Asian","No, Non-Hispanic","n/a","7","5.8","5.9","7","","30","88","89","gender_id","codeswitch_lesslikely"
13,1.5,"Vietnamese","18 - 24","Asian","No, Non-Hispanic","N/A","6.1","6","5.3","7","","37","60","19","gender_id","codeswitch_lesslikely"
14,2,"Arabic","18 - 24","White","No, Non-Hispanic","I am middle eastern","6.9","6.9","4.8","7","","0","9","40","gender_id","codeswitch_lesslikely"
15,1,"None","18 - 24","White","No, Non-Hispanic",NA,"6","4.5","5","6.5","","25","70","50","gender_id","codeswitch_lesslikely"
16,1,"no","18 - 24","Asian","No, Non-Hispanic","no","1","7","1.8","7","no","20","50","21","gender_id","codeswitch_lesslikely"
17,1.5,"n/a","18 - 24","White","No, Non-Hispanic","n/a","7","7","6.6","7","n/a","10","1","1","gender_id","codeswitch_lesslikely"
18,1.1,"Spanish, Portuguese ","25 - 34","Black or African American","No, Non-Hispanic","Black or African American","7","7","7","7","","10","81","51","gender_id","codeswitch_lesslikely"
19,1,"Mandarin, Cantonese","18 - 24","Asian","No, Non-Hispanic","N/A","7","4.5","3.5","7","","45","100","73","gender_id","codeswitch_lesslikely"
20,1,"Russian and Spanish","18 - 24","White","No, Non-Hispanic","N/A","7","7","6.2","7","N/A","70","20","71","gender_id","codeswitch_lesslikely"
22,1.1,"Japanese","18 - 24","Asian","No, Non-Hispanic",NA,"6.9","6.7","6.5","7",NA,"0","25","20","gender_id","codeswitch_lesslikely"
23,1,"N/A","18 - 24","White,Not listed/Underspecified","No, Non-Hispanic","Middle eastern","7","7","7","7","","6","0","6","gender_id","codeswitch_lesslikely"
24,1,"Spanish ","18 - 24","White","Yes, Hispanic","N/A","5.5","4.5","5","7","","40","50","40","gender_id","codeswitch_lesslikely"
25,1,"Spanish","18 - 24","White","Yes, Hispanic","N/A","7","5","5.5","7","","12","61","82","gender_id","codeswitch_lesslikely"
26,1.5,"While I can understand Telugu and Hindi, I do not speak any languages other than American English","18 - 24","Asian","No, Non-Hispanic","I did not mark those above","7","7","6.5","7","","20","25","75","gender_id","codeswitch_lesslikely"
27,1,"Spanish","18 - 24","Not listed/Underspecified","Yes, Hispanic","I can't seem to identify with the other races listed. ","7","7","6.5","7","","20","37","42","gender_id","codeswitch_lesslikely"
28,1,"Korean","18 - 24","Asian","No, Non-Hispanic","N/A","7","7","7","7","N/A","30","30","70","gender_id","codeswitch_lesslikely"
29,1,NA,"18 - 24","Asian","No, Non-Hispanic",NA,"7","6.1","6.6","7","","26","59","58","gender_id","codeswitch_lesslikely"
30,1.2,"none","18 - 24","White","No, Non-Hispanic","n/a","7","7","4.6","6.8","","21","15","82","gender_id","codeswitch_lesslikely"
31,1.1,"Spanish","45 - 54","White","Yes, Hispanic","n/a","7","4","7","7","n/a","71","61","91","gender_id","codeswitch_lesslikely"
32,1.2,"N/A","18 - 24","White,Black or African American,Asian","No, Non-Hispanic","n/a","6.1","4","5.6","7","","30","72","75","gender_id","codeswitch_lesslikely"
33,1,"Hindi, Tamil ","18 - 24","Asian","No, Non-Hispanic","Indian","6.8","5.5","6.6","7","","59","84","82","gender_id","codeswitch_lesslikely"
35,1,"N/A","18 - 24","Asian","No, Non-Hispanic","N/A","1","7","2","7","N/A","1","0","10","gender_id","codeswitch_lesslikely"
36,1.1,"Spanish","18 - 24","White","Yes, Hispanic","N/A","1.1","6.9","1.7","7","","10","20","20","gender_id","codeswitch_lesslikely"
37,1,"I know a little bit of Japanese and Spanish but never use it ","18 - 24","Asian","No, Non-Hispanic","N/A","6.5","5","5","7","","20","65","50","gender_id","codeswitch_lesslikely"
38,2,"none","18 - 24","White,Asian,Two or more races","No, Non-Hispanic","Asian & Caucasian/White","7","6","7","7","","90","90","30","gender_id","codeswitch_lesslikely"
39,1,"Spanish","18 - 24","White","Yes, Hispanic","N/A","1","1","4","7","N/A","20","82","83","gender_id","codeswitch_lesslikely"
40,1.1,"Korean","18 - 24","Asian","No, Non-Hispanic","N/A","7","6","5.8","7","","19","8","20","gender_id","codeswitch_lesslikely"
42,1.4,"Tagalog, Mandarin","18 - 24","Asian","No, Non-Hispanic","-","7","4","5","7","-","10","29","40","gender_id","codeswitch_lesslikely"
43,1.5,"spanish","18 - 24","Not listed/Underspecified","Yes, Hispanic","hispanic","1","1","2","7","","20","21","19","gender_id","codeswitch_lesslikely"
44,2,"N/A","18 - 24","Asian","No, Non-Hispanic","N/A","1","6.1","2.2","7","N/A","30","70","23","gender_id","codeswitch_lesslikely"
45,1.2,"Igbo, Spanish","18 - 24","Black or African American","No, Non-Hispanic","N/A","1.1","7","3","7","N/A","19","40","10","gender_id","codeswitch_lesslikely"
46,1,"N/A","18 - 24","White","No, Non-Hispanic","N/A","7","6","7","7","N/A","5","30","50","gender_id","codeswitch_lesslikely"
47,1.4,"N/A","18 - 24","Asian","No, Non-Hispanic","N/A","7","7","5.6","7","","35","10","10","gender_id","codeswitch_lesslikely"
48,2.1,"None","18 - 24","White","No, Non-Hispanic","N/A","1","6.8","2.5","7","","5","15","10","gender_id","codeswitch_lesslikely"
49,1.1,"spanish","18 - 24","White","Yes, Hispanic","N/A","3.9","4","6.1","7","","30","71","60","gender_id","codeswitch_lesslikely"
50,1,"none","18 - 24","Asian","No, Non-Hispanic","n/a","7","4.9","5.2","7","","52","100","50","gender_id","codeswitch_lesslikely"
52,1," None","18 - 24","Asian","No, Non-Hispanic","None","7","6.1","7","7","","50","100","60","gender_id","codeswitch_lesslikely"
53,1.2,"spanish","18 - 24","White","No, Non-Hispanic","N/A","6.4","4","6","6.6","","20","71","45","gender_id","codeswitch_lesslikely"
54,2,"N/A","25 - 34","White","Yes, Hispanic","N/A","7","6","7","7","","51","90","50","gender_id","codeswitch_lesslikely"
55,1,"Spanish","18 - 24","White","Yes, Hispanic","N/A","1","7","2","7","","4","4","0","gender_id","codeswitch_lesslikely"
56,1,"french","18 - 24","White","No, Non-Hispanic","non","5.7","2","5.3","7","","40","0","18","gender_id","codeswitch_lesslikely"
57,1,"none","18 - 24","White,Asian","No, Non-Hispanic","white and filipino","7","4","5.6","7","","9","30","20","gender_id","codeswitch_lesslikely"
58,1.5,"Korean, French","18 - 24","Asian","No, Non-Hispanic","n/a","5.5","4","4.9","4.7","","80","100","43","gender_id","codeswitch_lesslikely"
59,1,"none","18 - 24","White","No, Non-Hispanic","N/A","7","6.9","6.9","7","","30","83","78","gender_id","codeswitch_lesslikely"
60,1.1,"Japanese","18 - 24","Asian","No, Non-Hispanic","N/A","7","5","6.3","7","","1","13","61","gender_id","codeswitch_lesslikely"
61,1.1,"none","18 - 24","White,Asian,Two or more races","No, Non-Hispanic","Japanese, Chinese, German","7","7","5.4","7","n/a","4","4","40","gender_id","codeswitch_lesslikely"
63,1.5,"Little bit of Hindi and Spanish","18 - 24","Asian","No, Non-Hispanic","n/a","6.4","5","6","7","","22","85","80","gender_id","codeswitch_lesslikely"
64,1.1,"Vietnamese","18 - 24","Asian","No, Non-Hispanic","n/a","7","6","6.5","7","","30","75","35","gender_id","codeswitch_lesslikely"
65,3.6,"N/A","18 - 24","White","No, Non-Hispanic","N/A","7","6.3","5.9","7","N/A","27","23","41","gender_id","codeswitch_lesslikely"
66,1.1,"chinese","18 - 24","Asian","No, Non-Hispanic","n/a","7","6.6","6.7","7","","19","19","41","gender_id","codeswitch_lesslikely"
67,2,"None","18 - 24","Asian","No, Non-Hispanic","NOne","6.9","6.2","6","7",NA,"29","52","7","gender_id","codeswitch_lesslikely"
