"Participant","Rating","Condition","WAV"
1,1.1,"gender_id","codeswitch_lesslikely"
2,1,"gender_id","codeswitch_lesslikely"
3,1.2,"gender_id","codeswitch_lesslikely"
4,1.1,"gender_id","codeswitch_lesslikely"
5,1.3,"gender_id","codeswitch_lesslikely"
6,1.1,"gender_id","codeswitch_lesslikely"
7,1.3,"gender_id","codeswitch_lesslikely"
8,1.1,"gender_id","codeswitch_lesslikely"
9,1,"gender_id","codeswitch_lesslikely"
10,1.6,"gender_id","codeswitch_lesslikely"
11,1.6,"gender_id","codeswitch_lesslikely"
12,1,"gender_id","codeswitch_lesslikely"
13,1.5,"gender_id","codeswitch_lesslikely"
14,2,"gender_id","codeswitch_lesslikely"
15,1,"gender_id","codeswitch_lesslikely"
16,1,"gender_id","codeswitch_lesslikely"
17,1.5,"gender_id","codeswitch_lesslikely"
18,1.1,"gender_id","codeswitch_lesslikely"
19,1,"gender_id","codeswitch_lesslikely"
20,1,"gender_id","codeswitch_lesslikely"
21,1,"gender_id","codeswitch_lesslikely"
22,1.1,"gender_id","codeswitch_lesslikely"
23,1,"gender_id","codeswitch_lesslikely"
24,1,"gender_id","codeswitch_lesslikely"
25,1,"gender_id","codeswitch_lesslikely"
26,1.5,"gender_id","codeswitch_lesslikely"
27,1,"gender_id","codeswitch_lesslikely"
28,1,"gender_id","codeswitch_lesslikely"
29,1,"gender_id","codeswitch_lesslikely"
30,1.2,"gender_id","codeswitch_lesslikely"
31,1.1,"gender_id","codeswitch_lesslikely"
32,1.2,"gender_id","codeswitch_lesslikely"
33,1,"gender_id","codeswitch_lesslikely"
34,1,"gender_id","codeswitch_lesslikely"
35,1,"gender_id","codeswitch_lesslikely"
36,1.1,"gender_id","codeswitch_lesslikely"
37,1,"gender_id","codeswitch_lesslikely"
38,2,"gender_id","codeswitch_lesslikely"
39,1,"gender_id","codeswitch_lesslikely"
40,1.1,"gender_id","codeswitch_lesslikely"
41,2.8,"gender_id","codeswitch_lesslikely"
42,1.4,"gender_id","codeswitch_lesslikely"
43,1.5,"gender_id","codeswitch_lesslikely"
44,2,"gender_id","codeswitch_lesslikely"
45,1.2,"gender_id","codeswitch_lesslikely"
46,1,"gender_id","codeswitch_lesslikely"
47,1.4,"gender_id","codeswitch_lesslikely"
48,2.1,"gender_id","codeswitch_lesslikely"
49,1.1,"gender_id","codeswitch_lesslikely"
1,3,"sexual_orientation","codeswitch_lesslikely"
2,5,"sexual_orientation","codeswitch_lesslikely"
3,7,"sexual_orientation","codeswitch_lesslikely"
4,2,"sexual_orientation","codeswitch_lesslikely"
5,4,"sexual_orientation","codeswitch_lesslikely"
6,5.7,"sexual_orientation","codeswitch_lesslikely"
7,2.4,"sexual_orientation","codeswitch_lesslikely"
8,4.8,"sexual_orientation","codeswitch_lesslikely"
9,7,"sexual_orientation","codeswitch_lesslikely"
10,2.5,"sexual_orientation","codeswitch_lesslikely"
11,6.5,"sexual_orientation","codeswitch_lesslikely"
12,7,"sexual_orientation","codeswitch_lesslikely"
13,5.4,"sexual_orientation","codeswitch_lesslikely"
14,5.6,"sexual_orientation","codeswitch_lesslikely"
15,4,"sexual_orientation","codeswitch_lesslikely"
16,7,"sexual_orientation","codeswitch_lesslikely"
17,1.4,"sexual_orientation","codeswitch_lesslikely"
18,7,"sexual_orientation","codeswitch_lesslikely"
19,6,"sexual_orientation","codeswitch_lesslikely"
20,4,"sexual_orientation","codeswitch_lesslikely"
21,7,"sexual_orientation","codeswitch_lesslikely"
22,6.2,"sexual_orientation","codeswitch_lesslikely"
23,1,"sexual_orientation","codeswitch_lesslikely"
24,7,"sexual_orientation","codeswitch_lesslikely"
25,7,"sexual_orientation","codeswitch_lesslikely"
26,5.1,"sexual_orientation","codeswitch_lesslikely"
27,6,"sexual_orientation","codeswitch_lesslikely"
28,7,"sexual_orientation","codeswitch_lesslikely"
29,6.2,"sexual_orientation","codeswitch_lesslikely"
30,6.5,"sexual_orientation","codeswitch_lesslikely"
31,4,"sexual_orientation","codeswitch_lesslikely"
32,6.1,"sexual_orientation","codeswitch_lesslikely"
33,3.3,"sexual_orientation","codeswitch_lesslikely"
34,7,"sexual_orientation","codeswitch_lesslikely"
35,7,"sexual_orientation","codeswitch_lesslikely"
36,1.2,"sexual_orientation","codeswitch_lesslikely"
37,6.5,"sexual_orientation","codeswitch_lesslikely"
38,6,"sexual_orientation","codeswitch_lesslikely"
39,3,"sexual_orientation","codeswitch_lesslikely"
40,1.8,"sexual_orientation","codeswitch_lesslikely"
41,5,"sexual_orientation","codeswitch_lesslikely"
42,7,"sexual_orientation","codeswitch_lesslikely"
43,5.7,"sexual_orientation","codeswitch_lesslikely"
44,5,"sexual_orientation","codeswitch_lesslikely"
45,6.7,"sexual_orientation","codeswitch_lesslikely"
46,7,"sexual_orientation","codeswitch_lesslikely"
47,5.5,"sexual_orientation","codeswitch_lesslikely"
48,5.1,"sexual_orientation","codeswitch_lesslikely"
49,4,"sexual_orientation","codeswitch_lesslikely"
1,1.2,"voice_id","codeswitch_lesslikely"
2,1,"voice_id","codeswitch_lesslikely"
3,1.3,"voice_id","codeswitch_lesslikely"
4,1.5,"voice_id","codeswitch_lesslikely"
5,3.5,"voice_id","codeswitch_lesslikely"
6,1.1,"voice_id","codeswitch_lesslikely"
7,3,"voice_id","codeswitch_lesslikely"
8,1.1,"voice_id","codeswitch_lesslikely"
9,1,"voice_id","codeswitch_lesslikely"
10,4.2,"voice_id","codeswitch_lesslikely"
11,2.7,"voice_id","codeswitch_lesslikely"
12,1.6,"voice_id","codeswitch_lesslikely"
13,3.1,"voice_id","codeswitch_lesslikely"
14,2,"voice_id","codeswitch_lesslikely"
15,2,"voice_id","codeswitch_lesslikely"
16,2,"voice_id","codeswitch_lesslikely"
17,1.5,"voice_id","codeswitch_lesslikely"
18,1.1,"voice_id","codeswitch_lesslikely"
19,3,"voice_id","codeswitch_lesslikely"
20,2,"voice_id","codeswitch_lesslikely"
21,1,"voice_id","codeswitch_lesslikely"
22,1.4,"voice_id","codeswitch_lesslikely"
23,5.7,"voice_id","codeswitch_lesslikely"
24,1.4,"voice_id","codeswitch_lesslikely"
25,1.5,"voice_id","codeswitch_lesslikely"
26,1.6,"voice_id","codeswitch_lesslikely"
27,1.2,"voice_id","codeswitch_lesslikely"
28,2.2,"voice_id","codeswitch_lesslikely"
29,1.5,"voice_id","codeswitch_lesslikely"
30,2.2,"voice_id","codeswitch_lesslikely"
31,1.9,"voice_id","codeswitch_lesslikely"
32,1.5,"voice_id","codeswitch_lesslikely"
33,1.4,"voice_id","codeswitch_lesslikely"
34,1.8,"voice_id","codeswitch_lesslikely"
35,2,"voice_id","codeswitch_lesslikely"
36,1.2,"voice_id","codeswitch_lesslikely"
37,1,"voice_id","codeswitch_lesslikely"
38,1,"voice_id","codeswitch_lesslikely"
39,2.9,"voice_id","codeswitch_lesslikely"
40,2,"voice_id","codeswitch_lesslikely"
41,3,"voice_id","codeswitch_lesslikely"
42,2.1,"voice_id","codeswitch_lesslikely"
43,2.6,"voice_id","codeswitch_lesslikely"
44,3.1,"voice_id","codeswitch_lesslikely"
45,1.1,"voice_id","codeswitch_lesslikely"
46,1,"voice_id","codeswitch_lesslikely"
47,1.7,"voice_id","codeswitch_lesslikely"
48,2.6,"voice_id","codeswitch_lesslikely"
